"keywords","volume","bid","competition","words","rank_value","avg_kc","language","location"
"1980s fashion womens","8100","$0.39","High","3","$19.7","41","en","us"
"200 calorie meals","1900","$0.64","Low","3","$7.6","39","en","us"
"2006 camaro","2900","$0.83","Low","2","$15.0","35","en","us"
"2014 infiniti q50","9900","$2.21","Low","3","$136.7","42","en","us"
"2015 porsche panamera","2400","$1.01","Low","3","$15.1","42","en","us"
"2016 cadillac cts","6600","$1.80","Low","3","$74.2","44","en","us"
"2017 subaru crosstrek","6600","$3.37","Low","3","$123.7","46","en","us"
"30 day diet challenge","4400","$1.79","Low","4","$49.2","46","en","us"
"80 fashion","3600","$0.52","High","2","$11.7","37","en","us"
"active auto sales","1900","$0.79","Low","3","$9.4","32","en","us"
"all inclusive family vacations","4400","$2.89","High","4","$79.5","44","en","us"
"all inclusive honeymoon resorts","5400","$3.31","Medium","4","$101.2","41","en","us"
"american eagle shirts","9900","$0.96","High","3","$59.4","38","en","us"
"amg for sale","1300","$1.26","Medium","3","$10.2","42","en","us"
"ast financial","3600","$5.10","Low","2","$67.5","42","en","us"
"at&t stock dividend","8100","$2.12","Low","3","$107.3","45","en","us"
"athletic wear","8100","$3.16","High","2","$151.8","49","en","us"
"audi a5 2015","2400","$1.82","Low","3","$27.3","41","en","us"
"autozone promo code","3600","$4.11","Low","3","$67.5","39","en","us"
"axp stock price","4400","$13.80","Low","3","$82.5","55","en","us"
"bad credit car lots","5400","$17.14","High","4","$101.2","29","en","us"
"barnes & noble coupon","5400","$1.05","Low","4","$35.4","49","en","us"
"basf stock","2400","$1.74","Low","2","$26.0","50","en","us"
"bath and beyond coupon","5400","$0.49","High","4","$16.5","48","en","us"
"bed bath and beyond coupon $15 off $50","6600","$0.48","High","8","$19.6","36","en","us"
"belk plus size dresses","2900","$0.75","High","4","$13.6","40","en","us"
"best battery powered leaf blower","1900","$0.75","High","5","$8.9","44","en","us"
"best diet foods","2900","$1.96","Medium","3","$35.5","49","en","us"
"best diets for men","2900","$1.80","High","4","$32.6","43","en","us"
"best nursery near me","1300","$1.85","Low","4","$15.0","31","en","us"
"best stocks for 2019","9900","$1.89","Low","4","$117.1","51","en","us"
"black friday flights","1900","$1.23","Medium","3","$14.6","43","en","us"
"bmw e36 m3 for sale","2400","$0.81","High","5","$12.2","33","en","us"
"carbohydrates in rice","2900","-","Low","3","-","42","en","us"
"carbs in brown rice","9900","$1.28","Low","4","$79.2","43","en","us"
"carbs in okra","2900","-","Low","3","-","34","en","us"
"carnivore diet meal plan","1900","$4.33","Low","4","$35.6","30","en","us"
"cars for sale in my area","2900","$2.84","High","6","$51.5","53","en","us"
"cars with 2jz","1300","$0.29","Low","3","$2.4","37","en","us"
"casual plus size maxi dresses","4400","$1.16","High","5","$31.9","41","en","us"
"champs coupon code","3600","$0.73","High","3","$16.4","41","en","us"
"checkered pants","9900","$0.89","High","2","$55.1","37","en","us"
"chelsea boots outfit","3600","$0.62","High","3","$14.0","33","en","us"
"chic me dresses","4400","$0.52","High","3","$14.4","47","en","us"
"chinchilla coat","9900","$0.80","High","2","$49.5","29","en","us"
"christian health insurance","6600","$11.80","High","3","$123.7","46","en","us"
"classic muscle cars for sale","4400","$0.76","High","5","$20.9","38","en","us"
"coat sale","6600","$1.66","High","2","$68.5","41","en","us"
"cobra coverage","3600","$9.26","Medium","2","$67.5","50","en","us"
"commercial general contractors near me","1300","$8.97","Medium","5","$24.4","36","en","us"
"commercial real estate loans","4400","$20.71","High","4","$82.5","48","en","us"
"compeer financial","5400","$0.96","Low","2","$32.5","45","en","us"
"coral cocktail dress","1600","$1.09","High","3","$10.9","28","en","us"
"discount auto sales","3600","$2.82","Low","3","$63.4","21","en","us"
"disney wedding invitations","1300","$1.88","High","3","$15.3","36","en","us"
"dupont stock","5400","$8.75","Low","2","$101.2","55","en","us"
"eat right","4400","$0.89","Low","2","$24.5","58","en","us"
"ebay promo code $10 off","1600","$1.01","Medium","5","$10.1","53","en","us"
"edgy style","2900","$0.69","Medium","2","$12.5","28","en","us"
"emerald green bridesmaid dresses","4400","$1.25","High","4","$34.4","41","en","us"
"enterprise car rental promo code","5400","$1.08","Medium","5","$36.4","44","en","us"
"evening gowns with sleeves","5400","$1.01","High","4","$34.1","40","en","us"
"fair trade clothing","2900","$1.93","High","3","$35.0","31","en","us"
"fashion nova prom dresses","5400","$0.35","High","4","$12.0","28","en","us"
"fashion stylist","2400","$4.38","High","2","$45.0","38","en","us"
"fat flush soup","1600","$0.36","Low","3","$3.6","28","en","us"
"federal direct unsubsidized loan","8100","$6.20","Low","4","$151.8","50","en","us"
"fedex coupon","5400","$1.26","Medium","2","$42.5","50","en","us"
"first watch nutrition","3600","$0.61","Low","3","$13.7","35","en","us"
"ford fiesta hatchback","2900","$2.86","Low","3","$51.8","41","en","us"
"ford ranger 4x4","2400","$4.16","Medium","3","$45.0","53","en","us"
"girls winter coats clearance","1600","$1.17","High","4","$11.7","37","en","us"
"greensky credit","8100","$4.41","Low","2","$151.8","36","en","us"
"grunge fashion","5400","$0.50","High","2","$16.9","39","en","us"
"gt motors","1300","$1.36","Low","2","$11.0","29","en","us"
"guest chairs","1600","$3.55","High","2","$30.0","40","en","us"
"healthy low carb breakfast","1600","$0.82","High","4","$8.2","39","en","us"
"high protein diet meal plan","1300","$2.66","Medium","5","$21.6","40","en","us"
"high waisted jean shorts","9900","$1.35","High","4","$83.5","47","en","us"
"hot stocks","6600","$1.91","Medium","2","$78.8","55","en","us"
"house renovation","4400","$7.43","Medium","2","$82.5","49","en","us"
"how to lose 10 pounds in 2 weeks","8100","$4.06","Low","8","$151.8","41","en","us"
"how to lose 5 lbs in a week","2400","$1.55","Low","8","$23.2","46","en","us"
"how to lose arm fat fast","1900","$5.33","Low","6","$35.6","37","en","us"
"how to lose belly fat at home","1000","$3.29","Low","7","$18.7","41","en","us"
"how to lose weight by walking","1600","$5.30","Low","6","$30.0","49","en","us"
"how to lose weight in one day","1900","$3.08","Low","7","$35.6","47","en","us"
"hummer h3 price","1600","$0.55","High","3","$5.5","43","en","us"
"industrial l shaped desk","1300","$1.57","High","4","$12.8","38","en","us"
"instant pot recipes keto","1600","$0.24","Low","4","$2.4","41","en","us"
"j crew factory promo code","4400","$1.35","High","5","$37.1","36","en","us"
"jackfruit nutrition","5400","$0.20","Low","2","$6.8","44","en","us"
"jean jumpsuit","8100","$0.88","High","2","$44.5","38","en","us"
"jeep comanche for sale","5400","$0.94","High","4","$31.7","35","en","us"
"jeep liberty for sale","6600","$1.47","Medium","4","$60.6","40","en","us"
"jomashop coupon code","1600","$1.68","Medium","3","$16.8","36","en","us"
"karmann ghia for sale","8100","$0.21","High","4","$10.6","37","en","us"
"keto daily menu","1300","$0.90","Medium","3","$7.3","43","en","us"
"keto desserts to buy","4400","$0.80","High","4","$22.0","22","en","us"
"keto ice cream walmart","1600","$0.64","High","4","$6.4","39","en","us"
"keurig coupons","4400","$1.84","High","2","$50.6","36","en","us"
"kid friendly all inclusive resorts","3600","$1.87","Medium","5","$42.1","42","en","us"
"kitchen contractors near me","1300","$10.48","Medium","4","$24.4","44","en","us"
"kleinfeld bridesmaid dresses","1600","$1.39","High","3","$13.9","28","en","us"
"lawn cart","4400","$0.92","High","2","$25.3","46","en","us"
"lemon juice nutrition","2900","$0.24","Low","3","$4.4","42","en","us"
"leopard print shirt","4400","$0.92","High","3","$25.3","41","en","us"
"lexus es 350 2018","1300","$3.96","Medium","4","$24.4","45","en","us"
"lillian west bridal","1000","$0.38","High","3","$2.4","39","en","us"
"lincoln mkz 2016","2400","$2.82","Low","3","$42.3","43","en","us"
"low carb keto diet","1900","$0.90","High","4","$10.7","50","en","us"
"low carb low fat recipes","2900","$0.95","Low","5","$17.2","43","en","us"
"low carb vegetarian diet","2400","$0.99","Low","4","$14.9","44","en","us"
"low carb wraps","9900","$0.37","High","3","$22.9","38","en","us"
"macys mother of the bride","2400","$0.57","High","5","$8.6","33","en","us"
"mazda for sale","2900","$5.22","High","3","$54.4","45","en","us"
"mck stock","9900","-","Low","2","-","54","en","us"
"men clothing websites","5400","$2.65","High","3","$89.4","45","en","us"
"mens leather jackets on sale","1600","$1.12","High","5","$11.2","39","en","us"
"mercedes g wagon used","8100","$3.50","High","4","$151.8","37","en","us"
"merchant cash advance","5400","-","Low","3","-","37","en","us"
"millybridal","5400","$0.29","Medium","1","$9.7","40","en","us"
"minnie mouse dress","8100","$0.47","High","3","$23.8","44","en","us"
"most popular clothing stores","5400","$1.00","High","4","$33.7","39","en","us"
"mux stock","8100","$0.23","Low","2","$11.6","46","en","us"
"namecheap promo code","8100","$1.53","Low","3","$77.4","44","en","us"
