"keywords","volume","bid","competition","words","rank_value","avg_kc","language","location"
"15 year mortgage rates","60500","$6.90","High","4","$1,134.0","53","en","us"
"2 drawer file cabinet","14800","$2.32","High","4","$214.5","44","en","us"
"2011 honda accord","18100","$1.43","Low","3","$161.7","43","en","us"
"2015 nissan altima","40500","$2.94","Low","3","$744.0","46","en","us"
"2016 chevy cruze","18100","$3.28","Low","3","$339.3","45","en","us"
"2016 lexus rx 350","14800","$3.00","Medium","4","$277.4","45","en","us"
"2017 jeep wrangler","18100","$2.79","Medium","3","$315.5","48","en","us"
"80s look","14800","$0.31","High","8","$28.7","36","en","us"
"80s outfits","90500","$0.28","High","11","$158.3","41","en","us"
"90s clothes","33100","$0.65","High","2","$134.4","36","en","us"
"a line dress","49500","$1.48","High","3","$457.7","46","en","us"
"acura tsx","40500","$3.09","Low","2","$759.1","46","en","us"
"adp stock","18100","$5.84","Low","2","$339.3","49","en","us"
"allstate near me","27100","$17.25","Low","3","$508.0","49","en","us"
"ambetter","165000","$7.45","Medium","1","$3,092.8","34","en","us"
"apple stock","1000000","$5.66","Low","2","$18,744.0","61","en","us"
"arbella","12100","$0.35","Low","1","$26.5","42","en","us"
"ariana grande outfits","14800","$0.39","High","3","$36.1","33","en","us"
"asos maternity","27100","$1.43","High","2","$242.1","43","en","us"
"bape jacket","27100","$0.43","High","2","$72.8","34","en","us"
"best buy promo code","40500","$2.36","Low","4","$597.2","47","en","us"
"betabrand pants","14800","$0.43","High","2","$39.8","43","en","us"
"birthday outfits","27100","$0.47","High","2","$79.6","36","en","us"
"black desk","18100","$1.21","High","2","$136.8","39","en","us"
"bloomingdales promo code","14800","$1.93","Low","3","$178.5","39","en","us"
"blue apron stock","18100","$3.47","Low","3","$339.3","53","en","us"
"boeing stock","673000","$10.17","Low","2","$12,614.7","55","en","us"
"bridal boutique","27100","$0.91","High","2","$154.1","30","en","us"
"bridal gowns","33100","$0.81","High","2","$167.5","42","en","us"
"bridal stores near me","27100","$1.17","High","4","$198.1","30","en","us"
"buffalo wild wings coupons","18100","$0.24","Low","4","$27.1","37","en","us"
"buick rendezvous","14800","$1.65","Low","2","$152.6","42","en","us"
"burgundy prom dresses","14800","$0.43","High","3","$39.8","37","en","us"
"burlington coat factory coupons","14800","$0.56","High","4","$51.8","42","en","us"
"business casual attire","14800","$3.08","High","3","$277.4","51","en","us"
"business dress","14800","$1.56","High","2","$144.3","40","en","us"
"buy here pay here car lots near me","14800","$6.29","Medium","8","$277.4","19","en","us"
"cake toppers","22200","$0.60","High","2","$83.2","47","en","us"
"calvin klein jacket","12100","$1.24","High","3","$93.7","39","en","us"
"camaro for sale","40500","$1.95","High","3","$493.4","39","en","us"
"car insurance companies","49500","$82.00","High","3","$927.8","48","en","us"
"cardigan sweater","40500","$1.35","High","2","$341.6","39","en","us"
"casual summer dresses","14800","$1.49","High","3","$137.8","44","en","us"
"casual wedding dresses","27100","$0.92","High","3","$155.8","39","en","us"
"cenlar mortgage","22200","$6.13","Low","2","$416.1","35","en","us"
"champagne dress","18100","$0.89","High","2","$100.7","40","en","us"
"cheap computer desk","12100","$0.92","High","3","$69.6","42","en","us"
"cheap dresses","74000","$1.03","High","2","$476.2","35","en","us"
