"keywords","volume","bid","competition","words","rank_value","avg_kc","language","location"
"1920s dress","49500","$0.79","High","2","$244.3","37","en","us"
"2012 honda accord","33100","$1.74","Low","3","$359.9","41","en","us"
"2012 jeep wrangler","12100","$1.43","Medium","3","$108.1","43","en","us"
"2014 jeep wrangler","12100","$1.64","Medium","3","$124.0","45","en","us"
"2016 honda accord","49500","$3.45","Low","3","$927.8","43","en","us"
"350z for sale","18100","$0.63","High","3","$71.3","36","en","us"
"80s fashion","246000","$0.33","High","2","$507.2","41","en","us"
"90s fashion women","18100","$0.54","High","3","$61.1","39","en","us"
"aarp medicare complete","12100","$13.95","High","3","$226.8","42","en","us"
"abercrombie coupon","18100","$0.55","High","2","$62.2","37","en","us"
"aks stock","40500","$0.01","Low","2","$2.5","53","en","us"
"amazon promo code","246000","$2.17","Low","3","$3,335.3","49","en","us"
"at&t stock","246000","$4.96","Low","3","$4,611.0","","en","us"
"baby girl dresses","22200","$0.97","High","3","$134.5","41","en","us"
"bandage dress","27100","$1.23","High","2","$208.3","33","en","us"
"bank of america personal loan","12100","$8.24","High","5","$226.8","","en","us"
"bankruptcy attorney near me","18100","$25.48","High","4","$339.3","34","en","us"
"barrick gold stock","18100","$5.87","Low","3","$339.3","","en","us"
"bath and body works in store coupon","33100","$0.31","Low","7","$64.1","","en","us"
"best insurance companies","14800","$35.92","High","3","$277.4","47","en","us"
"better mortgage","12100","$5.62","Low","2","$226.8","48","en","us"
"black and white dress","22200","$1.10","High","4","$152.6","39","en","us"
"black bomber jacket","14800","$1.05","High","3","$97.1","41","en","us"
"black high waisted jeans","12100","$2.00","High","4","$151.2","39","en","us"
"black sweater","18100","$1.24","High","2","$140.2","40","en","us"
"blazer jacket","14800","$1.25","High","2","$115.6","43","en","us"
"blush wedding dress","12100","$0.62","High","3","$46.9","39","en","us"
"bmw m4 for sale","12100","$1.13","Medium","4","$85.4","42","en","us"
"bohemian style","12100","$0.68","High","2","$51.4","43","en","us"
"boyfriend jeans","74000","$1.14","High","2","$527.1","37","en","us"
"bridesmaid dresses","301000","$1.87","High","2","$3,516.8","42","en","us"
"brokerage account","14800","$44.27","Medium","2","$277.4","54","en","us"
"build a bear coupon","27100","$0.45","High","4","$76.2","36","en","us"
"burberry trench coat","14800","$1.29","High","3","$119.3","47","en","us"
"buy here pay here car lots near me","14800","$6.29","Medium","8","$277.4","19","en","us"
"buy used cars","40500","$5.55","High","3","$759.1","42","en","us"
"cable knit sweater","14800","$1.23","High","3","$113.7","41","en","us"
"car dealerships","450000","$5.86","Low","2","$8,434.8","19","en","us"
"carbs in mushrooms","18100","$0.26","Low","3","$29.4","34","en","us"
"cheap clothes online","22200","$1.65","High","3","$228.9","31","en","us"
"cheap used cars","27100","$2.97","High","3","$502.9","37","en","us"
"check into cash near me","12100","$7.46","Low","5","$226.8","45","en","us"
"chevy ssr","22200","$1.07","Low","2","$148.4","41","en","us"
"chewy coupon code","33100","$0.87","High","3","$179.9","40","en","us"
"chipotle promo code","14800","$1.85","Low","3","$171.1","","en","us"
"christian dating for free","22200","$3.74","Low","4","$416.1","50","en","us"
"cnbc stock market","12100","$3.55","Low","3","$226.8","76","en","us"
"cnbc stocks","14800","$0.69","Low","2","$63.8","","en","us"
"cnn stock market","33100","$4.88","Low","3","$620.4","69","en","us"
"columbia coats","18100","$1.12","High","2","$126.7","45","en","us"
"computer chair","60500","$1.49","High","2","$563.2","40","en","us"
"cop stock","22200","-","Low","2","-","","en","us"
"corn nutrition","18100","$1.59","Low","2","$179.8","49","en","us"
"craigslist used cars","18100","$1.65","Medium","3","$186.6","32","en","us"
"crewneck sweatshirt","33100","$1.43","High","2","$295.7","41","en","us"
"crmd stock","22200","$18.13","Low","2","$416.1","45","en","us"
"cropped sweatshirt","12100","$1.16","High","2","$87.7","39","en","us"
"dewalt heated jacket","14800","$0.61","High","3","$56.4","41","en","us"
"dickies pants","60500","$1.06","High","2","$400.7","48","en","us"
"dietician","22200","$5.00","Low","1","$416.1","40","en","us"
"disney store coupons","14800","$0.81","High","3","$74.9","38","en","us"
"disney world vacation packages","14800","$0.82","Medium","4","$75.8","46","en","us"
"domino's nutrition","18100","$0.10","Low","2","$11.3","34","en","us"
"doordash free delivery","18100","$4.35","Low","3","$339.3","40","en","us"
"dr nowzaradan diet","14800","$2.04","Low","3","$188.6","22","en","us"
"dressbarn coupons","33100","$0.40","Medium","2","$82.7","39","en","us"
"edamame nutrition","14800","$2.23","Low","2","$206.2","48","en","us"
"etsy stock","74000","$0.77","Low","2","$356.0","51","en","us"
"expedia promo code","14800","$0.76","Low","3","$70.3","48","en","us"
"fabletics leggings","22200","$0.43","High","2","$59.6","34","en","us"
