"keywords","volume","bid","competition","words","rank_value","avg_kc","language","location"
"1200 calorie high protein low carb diet","1300","$1.19","Low","7","$9.7","46","en","us"
"2013 chevy tahoe","4400","$1.25","Low","3","$34.4","43","en","us"
"2014 porsche panamera","2900","$1.16","Low","3","$21.0","42","en","us"
"2015 bmw 535i","1900","$1.51","Medium","3","$17.9","41","en","us"
"2015 lincoln mkz","5400","$1.77","Low","3","$59.6","45","en","us"
"2016 cadillac srx","5400","$2.37","Low","3","$80.0","46","en","us"
"2017 dodge challenger","8100","$1.97","Low","3","$99.7","43","en","us"
"2017 toyota camry se","5400","$3.50","Medium","4","$101.2","43","en","us"
"3 day cleanse diet","1900","$1.10","High","4","$13.1","36","en","us"
"a1 auto sales","5400","$1.64","Low","3","$55.3","26","en","us"
"african prom dress","5400","$0.12","High","3","$4.1","36","en","us"
"amazon promo codes 20 off anything","5400","$2.20","Low","6","$74.2","40","en","us"
"ankle pants","4400","$1.21","High","2","$33.3","41","en","us"
"apple vitamins","5400","$1.85","Low","2","$62.4","45","en","us"
"asos bridal","1900","$0.89","High","2","$10.6","37","en","us"
"asos store","5400","$0.54","High","2","$18.2","50","en","us"
"audi tt for sale","9900","$0.97","High","4","$60.0","39","en","us"
"baby pink dress","4400","$0.83","High","3","$22.8","37","en","us"
"balenciaga denim jacket","2400","$1.69","High","3","$25.3","42","en","us"
"barbour jacket womens","8100","$1.36","High","3","$68.8","39","en","us"
"bcbs highmark","3600","$7.05","Low","2","$67.5","42","en","us"
"beach wedding cake","2400","$1.98","High","3","$29.7","41","en","us"
"bed bath and beyond coupon 2019","6600","$0.60","High","6","$24.8","42","en","us"
"bed bath coupon","9900","$0.45","Medium","3","$27.8","45","en","us"
"beginner keto meal plan","2400","$1.19","High","4","$17.8","41","en","us"
"ben sherman shirts","2400","$0.73","High","3","$11.0","40","en","us"
"best keto desserts","4400","$0.60","High","3","$16.5","33","en","us"
"best personal injury lawyer","1300","$141.86","Low","4","$24.4","43","en","us"
"big lots stock","5400","$2.49","Low","3","$84.0","49","en","us"
"black computer desk","4400","$1.12","High","3","$30.8","42","en","us"
"blush cocktail dress","2400","$1.50","High","3","$22.5","38","en","us"
"bmw 328i price","2900","$1.84","Low","3","$33.3","47","en","us"
"bmw i8 roadster price","1600","$2.95","Low","4","$29.5","46","en","us"
"boat loan rates","4400","$7.21","High","3","$82.5","45","en","us"
"bob brown chevy","2900","$1.67","Low","3","$30.2","35","en","us"
"boohoo coupon code","3600","$1.78","Medium","3","$40.0","42","en","us"
"bridal salon","2900","$1.42","Low","2","$25.7","34","en","us"
"bridesmaid dresses online","6600","$1.99","High","3","$82.1","43","en","us"
"brown bridesmaid dresses","1300","$0.82","High","3","$6.7","37","en","us"
"cadillac wagon","2900","$2.07","Low","2","$37.5","39","en","us"
"calorie orange","1300","$1.61","Low","2","$13.1","41","en","us"
"calorie tracker","9900","$1.97","Medium","2","$121.9","54","en","us"
"calvin klein coat","6600","$1.32","High","3","$54.4","38","en","us"
"capisco chair","1900","$1.22","High","2","$14.5","32","en","us"
"capital one home loans","1900","$8.33","Medium","4","$35.6","43","en","us"
"capital one loans","9900","$6.20","Medium","3","$185.6","41","en","us"
"carbs in orange juice","2400","$1.80","Low","4","$27.0","35","en","us"
"casual wedding dresses for summer","1300","$0.66","High","5","$5.4","30","en","us"
"cheap summer dresses","5400","$1.00","High","3","$33.7","42","en","us"
"children's place promo code","9900","$0.58","High","4","$35.9","43","en","us"
"cien stock","6600","$0.59","Low","2","$24.3","49","en","us"
"cmcsa stock","6600","$5.25","Low","2","$123.7","53","en","us"
"cool jackets","9900","$0.81","High","2","$50.1","42","en","us"
"costco membership promo code","6600","$0.88","Low","4","$36.3","40","en","us"
"custom dress shirts","6600","$5.77","High","3","$123.7","37","en","us"
"datsun 280z for sale","2400","$0.28","High","4","$4.2","34","en","us"
"dental discount plans","6600","$10.50","High","3","$123.7","37","en","us"
"direct mail","6600","$23.28","Medium","2","$123.7","48","en","us"
"disney on ice promo code","1900","$0.95","Low","5","$11.3","46","en","us"
"dodge charger rt for sale","4400","$2.53","Medium","5","$69.6","36","en","us"
"doordash gift code","2900","$1.63","Medium","3","$29.5","37","en","us"
"dress shorts","8100","$1.00","High","2","$50.6","45","en","us"
"eaton stock","5400","-","Low","2","-","51","en","us"
"egyptian clothing","5400","$0.35","High","2","$11.8","38","en","us"
"european stock market","4400","$5.65","Low","3","$82.5","61","en","us"
"fall jackets","8100","$1.95","High","2","$98.7","44","en","us"
"fha 203k loan","8100","$4.96","Medium","3","$151.8","48","en","us"
