"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"";"";"19";"man seeking woman craigslist";"en";"US";"4";"3600";"31";"54";"25";"12";"38";"2";"29";"0";"0";"0";"4";"6.9";"40";"69";"58";"99";"55";"227";"31";"110";"com net";"1.08";"0";"16";"0";"0";"";"";"";"";"";"";"";"";"1";"";"2020-01-15 12:53";"0"
"";"";"19";"bus accident attorney";"en";"US";"3";"880";"8";"14";"6";"3";"7";"1";"10";"2";"0";"3";"2.5";"3.1";"25";"31";"37";"46";"24";"236";"2";"11";"net";"114.4";"0";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 12:42";"0"
"";"";"14";"western dress for girls";"en";"US";"4";"1000";"12";"15";"12";"4";"9";"1";"10";"0";"0";"0";"3.2";"4.7";"32";"47";"50";"92";"1";"6";"5";"16";"com net";"0.51";"100";"2";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 12:52";"0"
"";"";"14";"fraud attorney";"en";"US";"2";"1000";"12";"15";"7";"4";"11";"1";"18";"3";"0";"1";"2.8";"4.4";"28";"44";"43";"69";"3";"20";"6";"15";"n-e-t";"10.42";"50";"42";"4";"3";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 12:42";"0"
"";"";"12";"craigslist men seeking women";"en";"US";"4";"3600";"49";"54";"26";"12";"69";"2";"43";"3";"0";"0";"4.2";"6.9";"42";"69";"63";"99";"36";"151";"34";"110";"com net";"1.08";"0";"16";"0";"0";"";"";"";"";"";"";"";"";"1";"";"2020-01-15 12:51";"0"
"";"";"12";"range rover classic for sale";"en";"US";"5";"1300";"18";"20";"19";"5";"19";"1";"15";"2";"0";"1";"3.8";"4.9";"38";"49";"70";"90";"4";"13";"8";"22";"c-o-m net";"3.13";"100";"16";"1";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 12:48";"0"
"";"";"11";"low carb protein bar recipe";"en";"US";"5";"880";"14";"14";"10";"3";"18";"1";"10";"0";"0";"0";"3.6";"4.2";"36";"42";"57";"81";"25";"57";"21";"42";"com net";"2.4";"50";"8";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 12:46";"0"
"";"";"10";"walmart keto snacks";"en";"US";"3";"1300";"21";"20";"34";"5";"13";"1";"15";"3";"0";"3";"3.7";"5.1";"37";"51";"53";"94";"10";"45";"23";"56";"com net";"0.95";"100";"5";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 12:52";"0"
"";"";"10";"low carb dark chocolate";"en";"US";"4";"1000";"17";"15";"21";"4";"16";"1";"11";"3";"0";"2";"3.4";"5.3";"34";"53";"57";"95";"16";"59";"12";"29";"com net";"0.52";"100";"2";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 09:27";"0"
"";"";"10";"plus size bodycon club dresses";"en";"US";"5";"880";"15";"14";"11";"3";"18";"1";"14";"0";"0";"0";"3.6";"5.1";"36";"51";"59";"96";"15";"109";"11";"33";"com net";"0.94";"100";"3";"1";"3";"1";"";"";"";"";"";"1";"";"";"";"2020-01-14 17:39";"0"
