"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"icon_ruby";"";"123";"buy here pay here car dealerships";"en";"US";"6";"8100";"11";"120";"21";"27";"7";"3";"6";"0";"0";"0";"3";"5.1";"30";"51";"33";"74";"204301";"2042766";"31";"131";"c-o-m net";"4.5";"100";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 15:59";"0"
"";"";"96";"buy here pay here cars";"en";"US";"5";"6600";"11";"98";"20";"22";"10";"3";"5";"0";"0";"0";"3.1";"5.1";"31";"51";"37";"74";"204298";"2042766";"29";"131";"c-o-m n-e-t";"5.36";"74";"100";"4";"3";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 12:53";"0"
"";"";"95";"wedding reception dress";"en";"US";"3";"9900";"17";"147";"13";"33";"16";"4";"25";"0";"0";"6";"3.9";"5.1";"39";"51";"69";"96";"41";"284";"6";"16";"c-o-m n-e-t";"1.22";"100";"48";"0";"0";"1";"";"";"";"";"";"1";"";"";"";"2020-01-14 16:47";"0"
"";"";"93";"drivetime inventory";"en";"US";"2";"9900";"17";"147";"20";"33";"16";"4";"16";"9";"0";"9";"3.1";"4.3";"31";"43";"50";"50";"42";"424";"25";"242";"com net";"1.44";"50";"57";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:36";"0"
"";"";"92";"black mini dress";"en";"US";"3";"9900";"17";"147";"16";"33";"17";"4";"21";"0";"0";"0";"4";"4.6";"40";"46";"75";"86";"57";"378";"32";"138";"c-o-m net";"1.37";"100";"54";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 16:54";"0"
"";"";"91";"apple vacations all inclusive";"en";"US";"4";"8100";"15";"120";"26";"27";"8";"3";"11";"0";"0";"1";"3.5";"5.5";"35";"55";"56";"59";"21342";"147162";"349";"2841";"com net";"1.84";"50";"60";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:23";"0"
"";"";"88";"buy here pay here lots near me";"en";"US";"7";"5400";"10";"80";"16";"18";"6";"2";"10";"1";"0";"0";"2.8";"5.1";"28";"51";"26";"74";"204305";"2042766";"34";"131";"com net";"4.87";"50";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 16:04";"0"
"";"";"80";"one main loan";"en";"US";"3";"9900";"20";"147";"26";"33";"15";"4";"20";"0";"0";"5";"4.1";"5.2";"41";"52";"60";"80";"25744";"169906";"416";"3068";"c-o-m n-e-t";"3.5";"50";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:30";"0"
"";"";"80";"2015 nissan maxima";"en";"US";"3";"9900";"20";"147";"24";"33";"20";"4";"7";"0";"0";"0";"4.2";"4.7";"42";"47";"72";"83";"8";"29";"20";"51";"com net";"1.43";"0";"57";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:30";"0"
"";"";"79";"lexus isf for sale";"en";"US";"4";"6600";"14";"98";"19";"22";"10";"3";"13";"0";"0";"0";"3.6";"4.4";"36";"44";"66";"83";"1";"4";"5";"18";"com net";"4.71";"50";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:29";"0"
"";"";"79";"short sleeve shirt";"en";"US";"3";"8100";"17";"120";"21";"27";"15";"3";"13";"0";"0";"8";"3.9";"4.7";"39";"47";"74";"90";"15";"67";"11";"29";"c-o-m net";"2.41";"100";"78";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:23";"0"
"";"";"78";"chevy traverse for sale";"en";"US";"4";"9900";"20";"147";"26";"33";"21";"4";"14";"0";"0";"0";"4.2";"4.8";"42";"48";"71";"83";"10";"44";"22";"54";"c-o-m net";"4.69";"100";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:30";"0"
"";"";"75";"harley davidson payment";"en";"US";"3";"6600";"14";"98";"29";"22";"9";"3";"7";"3";"0";"3";"3";"4.8";"30";"48";"34";"79";"3517";"34837";"127";"1056";"com net";"5.17";"0";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-14 16:04";"0"
"";"";"73";"white satin dress";"en";"US";"3";"6600";"15";"98";"15";"22";"17";"3";"11";"0";"0";"1";"3.8";"4.4";"38";"44";"75";"88";"2";"9";"5";"9";"com net";"1.41";"100";"37";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 16:53";"0"
