"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"icon_ruby";"";"106";"mini cooper dealership";"en";"US";"3";"8100";"12";"120";"14";"27";"12";"3";"12";"2";"0";"0";"3.3";"4.3";"33";"43";"31";"64";"1918";"7114";"85";"131";"c-o-m net";"5.95";"0";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:44";"0"
"";"";"101";"no credit check car lots";"en";"US";"5";"8100";"13";"120";"20";"27";"13";"3";"7";"0";"0";"0";"3.3";"5.1";"33";"51";"33";"74";"204507";"2042766";"94";"329";"c-o-m net";"9.12";"100";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 16:03";"0"
"";"";"91";"amscot loan";"en";"US";"2";"5400";"10";"80";"9";"18";"9";"2";"11";"2";"0";"3";"2.8";"4.2";"28";"42";"46";"80";"9";"76";"13";"95";"com net";"2.07";"50";"45";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:48";"0"
"";"";"90";"aspire student loan";"en";"US";"3";"9900";"18";"147";"15";"33";"20";"4";"0";"2";"0";"4";"3.4";"5.1";"34";"51";"50";"90";"29";"187";"19";"70";"c-o-m net";"7.63";"0";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:44";"0"
"";"";"88";"buy here pay here lots near me";"en";"US";"7";"5400";"10";"80";"16";"18";"6";"2";"10";"1";"0";"0";"2.8";"5.1";"28";"51";"26";"74";"204305";"2042766";"34";"131";"com net";"4.87";"50";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 16:04";"0"
"";"";"76";"mitsubishi evo for sale";"en";"US";"4";"8100";"17";"120";"22";"27";"20";"3";"9";"0";"0";"4";"3.9";"4.8";"39";"48";"68";"83";"2";"9";"12";"39";"com net";"0.92";"50";"30";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:42";"0"
"";"";"76";"keto brownie recipe";"en";"US";"3";"8100";"17";"120";"16";"27";"19";"3";"17";"1";"0";"2";"3.9";"4.3";"39";"43";"61";"81";"31";"83";"34";"86";"com net";"1.49";"0";"48";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:46";"0"
"";"";"76";"under armour sweatshirt";"en";"US";"3";"9900";"21";"147";"21";"33";"21";"4";"21";"0";"0";"3";"4.2";"5.1";"42";"51";"80";"96";"2";"10";"13";"40";"c-o-m net";"3.05";"100";"100";"0";"0";"1";"";"";"1";"";"";"1";"";"";"";"2020-01-15 13:43";"0"
"";"";"74";"embellish jeans";"en";"US";"2";"9900";"22";"147";"8";"33";"9";"4";"67";"3";"0";"1";"2.6";"5";"26";"50";"35";"94";"38";"342";"19";"154";"c-o-m net";"1.17";"100";"46";"0";"0";"";"";"";"";"";"";"";"1";"";"";"2020-01-15 13:42";"0"
"";"";"73";"mercedes g wagon used";"en";"US";"4";"8100";"18";"120";"23";"27";"17";"3";"12";"0";"0";"0";"4";"4.7";"40";"47";"71";"83";"2";"14";"11";"38";"com net";"3.25";"100";"100";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:43";"0"
