"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"";"";"14";"site one landscape near me";"en";"US";"5";"590";"7";"9";"7";"2";"7";"1";"7";"0";"0";"0";"2.7";"3";"27";"30";"45";"45";"0";"1";"0";"3";"com net";"7.42";"0";"18";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:05";"0"
"";"";"13";"medical lawyer near me";"en";"US";"4";"1000";"13";"15";"7";"4";"17";"1";"12";"0";"0";"0";"3.5";"4.3";"35";"43";"61";"88";"45";"421";"13";"109";"c-o-m net";"15.43";"100";"62";"3";"3";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:02";"0"
"";"";"13";"ashley and justin bridal";"en";"US";"4";"590";"8";"9";"10";"2";"5";"1";"0";"0";"0";"0";"2.8";"3.5";"28";"35";"40";"62";"46";"273";"24";"138";"com net";"1.35";"50";"3";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:07";"0"
"";"";"12";"cocktail dress boutiques";"en";"US";"3";"880";"12";"14";"7";"3";"11";"1";"19";"0";"0";"0";"3.2";"5.4";"32";"54";"39";"55";"543";"5317";"159";"1485";"com net";"1.11";"100";"4";"0";"1";"";"";"1";"1";"";"";"";"";"";"";"2020-01-14 17:15";"0"
"";"";"12";"modanisa abaya";"en";"US";"2";"1000";"14";"15";"20";"4";"14";"1";"9";"4";"0";"9";"3.2";"4.1";"32";"41";"56";"56";"38";"358";"10";"83";"com net";"0.89";"100";"4";"0";"0";"";"";"";"1";"";"";"";"";"";"";"2020-01-14 17:11";"0"
"";"";"12";"keto steak sauce";"en";"US";"3";"1000";"14";"15";"12";"4";"18";"1";"10";"3";"0";"4";"3";"4.4";"30";"44";"48";"77";"163";"1252";"16";"71";"com net";"0.42";"100";"2";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:06";"0"
"";"";"12";"light pink plus size dresses";"en";"US";"5";"1300";"19";"20";"23";"5";"17";"1";"17";"0";"0";"0";"4";"5.1";"40";"51";"78";"96";"23";"121";"22";"106";"com net";"1.22";"100";"6";"0";"0";"";"";"";"";"";"";"1";"";"";"";"2020-01-14 17:38";"0"
"";"";"12";"plus size bridal shops";"en";"US";"4";"880";"13";"14";"15";"3";"16";"1";"6";"0";"0";"0";"3.3";"4.9";"33";"49";"41";"74";"533";"3043";"50";"139";"com net";"2.07";"100";"7";"3";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 17:15";"0"
"";"";"11";"cocktail shift dress";"en";"US";"3";"1000";"15";"15";"14";"4";"16";"1";"15";"0";"0";"4";"3.8";"4.4";"38";"44";"76";"89";"13";"95";"5";"44";"com net";"2.18";"100";"9";"1";"3";"1";"";"1";"1";"";"";"";"";"";"";"2020-01-14 17:23";"0"
"";"";"11";"motorcycle crash lawyer";"en";"US";"3";"590";"9";"9";"12";"2";"7";"1";"11";"0";"0";"0";"2.9";"4.4";"29";"44";"42";"70";"23";"137";"12";"49";"c-o-m net";"190.43";"0";"100";"1";"0";"";"";"1";"";"";"";"";"";"";"";"2019-12-20 14:56";"0"
"";"";"10";"civil rights lawyer near me";"en";"US";"5";"1300";"21";"20";"28";"5";"15";"1";"22";"0";"0";"0";"4.2";"5.2";"42";"52";"72";"88";"58";"358";"21";"71";"com net";"8.2";"50";"43";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:02";"0"
"";"";"10";"quest cookies keto";"en";"US";"3";"880";"14";"14";"22";"3";"11";"1";"3";"2";"0";"2";"2.9";"5.7";"29";"57";"41";"96";"451";"3608";"9";"33";"com net";"1.49";"100";"5";"0";"0";"1";"";"";"1";"";"";"1";"";"";"";"2020-01-15 13:06";"0"
"";"";"10";"most expensive wedding dress in the world";"en";"US";"7";"880";"15";"14";"21";"3";"12";"1";"9";"0";"0";"2";"3.5";"4.7";"35";"47";"64";"93";"11";"44";"14";"52";"com net";"1.7";"100";"6";"4";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 12:59";"0"
"";"";"10";"bamboo for sale near me";"en";"US";"5";"1000";"17";"15";"21";"4";"17";"1";"13";"0";"0";"0";"3.8";"5.1";"39";"51";"48";"94";"464";"3640";"143";"1099";"com net";"1.85";"100";"7";"1";"1";"";"";"1";"1";"";"";"";"1";"";"";"2020-01-15 13:03";"0"
"";"";"10";"coco and eve promo code";"en";"US";"5";"1000";"17";"15";"17";"4";"20";"1";"8";"0";"0";"2";"4";"4.9";"40";"49";"53";"89";"12";"97";"23";"68";"com net";"1.94";"100";"8";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:07";"0"
"";"";"9";"meyer lemon tree for sale";"en";"US";"5";"1000";"18";"15";"15";"4";"26";"1";"11";"2";"0";"0";"3.6";"5.7";"36";"57";"50";"96";"173";"1369";"29";"74";"com net";"1.15";"100";"5";"0";"0";"";"";"1";"";"";"";"1";"";"";"";"2020-01-15 12:57";"0"
"";"";"9";"costco vacation deals";"en";"US";"3";"1300";"24";"20";"20";"5";"25";"1";"27";"0";"0";"0";"4.4";"5.4";"45";"54";"63";"93";"2934";"23463";"293";"2154";"com net";"2.3";"0";"12";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 12:59";"0"
"";"";"9";"no carb tortilla chips";"en";"US";"4";"720";"14";"11";"17";"3";"13";"1";"10";"0";"0";"0";"3.6";"4.2";"36";"42";"48";"62";"40";"104";"40";"103";"com net";"1.27";"100";"4";"0";"0";"";"";"";"1";"";"";"";"";"";"";"2020-01-15 13:07";"0"
"";"";"9";"garden centres and nurseries near me";"en";"US";"6";"1000";"19";"15";"30";"4";"17";"1";"13";"0";"0";"0";"4";"5.5";"40";"55";"45";"93";"1351";"6275";"253";"1424";"com net";"3.29";"0";"13";"1";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:03";"0"
"";"";"8";"dutton gmc";"en";"US";"2";"1000";"21";"15";"23";"4";"18";"1";"0";"5";"1";"3";"3.2";"5.2";"32";"52";"40";"93";"176";"1200";"57";"356";"c-o-m net";"4.7";"0";"19";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:07";"0"
"";"";"8";"plus size wedding guest outfits";"en";"US";"5";"880";"18";"14";"22";"3";"17";"1";"16";"1";"0";"0";"3.9";"4.8";"39";"48";"64";"89";"8";"70";"12";"18";"com net";"1.31";"100";"5";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 17:31";"0"
"";"";"8";"curvy girl dresses";"en";"US";"3";"1000";"21";"15";"17";"4";"17";"1";"32";"3";"0";"3";"3.6";"5.2";"36";"52";"57";"94";"154";"1167";"61";"278";"c-o-m net";"1.47";"100";"6";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 17:30";"0"
"";"";"8";"hijab dress";"en";"US";"2";"1300";"27";"20";"14";"5";"14";"1";"73";"1";"0";"2";"3.7";"6.1";"37";"61";"45";"96";"80";"210";"49";"125";"c-o-m net";"0.76";"100";"4";"0";"0";"1";"";"";"";"";"";"1";"";"";"";"2020-01-15 13:01";"0"
"";"";"7";"american muscle cars for sale";"en";"US";"5";"1000";"22";"15";"28";"4";"24";"1";"15";"0";"0";"0";"4.3";"5.4";"43";"54";"55";"94";"3410";"33611";"58";"100";"c-o-m n-e-t";"1.21";"100";"5";"4";"0";"";"";"1";"";"";"";"";"1";"";"";"2020-01-15 12:58";"0"
"";"";"7";"fast food keto breakfast";"en";"US";"4";"1000";"22";"15";"36";"4";"12";"1";"22";"1";"0";"0";"4.1";"5.3";"41";"53";"69";"91";"30";"141";"34";"130";"com net";"1.34";"0";"5";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:05";"0"
"";"";"7";"best accident attorneys";"en";"US";"3";"590";"13";"9";"18";"2";"12";"1";"9";"0";"0";"0";"3.4";"4.8";"34";"48";"49";"93";"297";"1752";"35";"126";"n-e-t";"229.68";"28";"100";"3";"3";"";"";"1";"";"";"";"";"";"";"";"2020-01-09 16:53";"0"
"";"";"7";"keto bread publix";"en";"US";"3";"1000";"23";"15";"18";"4";"25";"1";"26";"1";"0";"1";"4";"5.5";"40";"55";"70";"94";"23";"183";"17";"81";"com net";"1.89";"100";"8";"0";"1";"";"";"";"1";"";"";"";"";"";"";"2020-01-15 13:06";"0"
"";"";"7";"traumatic brain injury lawyer";"en";"US";"4";"590";"14";"9";"29";"2";"13";"1";"7";"6";"0";"4";"2.7";"3.3";"27";"33";"40";"59";"309";"2745";"14";"97";"c-o-m net";"114.91";"0";"100";"0";"3";"";"";"1";"";"";"";"";"";"";"";"2019-12-20 14:52";"0"
"";"";"7";"jeep 4.0 engine for sale";"en";"US";"5";"880";"20";"14";"36";"3";"13";"1";"14";"0";"0";"0";"4";"5.6";"40";"56";"57";"94";"10";"56";"31";"160";"com net";"1.45";"100";"5";"0";"0";"";"";"";"";"";"";"";"1";"";"";"2020-01-15 13:00";"0"
"";"";"7";"mother of the groom outfits";"en";"US";"5";"1000";"23";"15";"28";"4";"23";"1";"17";"0";"0";"0";"4.5";"5";"45";"50";"75";"89";"24";"91";"29";"111";"com net";"0.76";"100";"3";"2";"3";"1";"";"1";"1";"";"";"";"";"";"";"2020-01-14 16:49";"0"
"";"";"7";"crepe myrtle trees for sale";"en";"US";"5";"590";"14";"9";"21";"2";"12";"1";"9";"1";"0";"1";"3.3";"4.4";"34";"44";"47";"91";"46";"216";"22";"90";"com net";"0.51";"100";"1";"0";"0";"1";"";"1";"";"";"";"";"";"";"";"2020-01-15 12:59";"0"
"";"";"7";"low carb pizza delivery";"en";"US";"4";"880";"21";"14";"21";"3";"14";"1";"29";"0";"0";"0";"4.1";"5.3";"41";"53";"71";"94";"13";"67";"14";"69";"c-o-m net";"4.03";"100";"14";"4";"1";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:04";"0"
"";"";"7";"online shopping sites for clothes";"en";"US";"5";"1600";"38";"24";"44";"6";"38";"1";"33";"1";"0";"0";"5.1";"5.7";"51";"57";"70";"92";"23961";"151935";"688";"3044";"com net";"2.49";"100";"16";"4";"3";"";"";"";"1";"";"";"";"";"";"";"2020-01-14 09:00";"0"
"";"";"7";"civil litigation attorney near me";"en";"US";"5";"720";"17";"11";"20";"3";"22";"1";"4";"0";"0";"0";"3.8";"4.7";"38";"47";"56";"70";"71";"533";"18";"42";"com net";"10.8";"50";"31";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:02";"0"
"";"";"7";"magnolia tree for sale near me";"en";"US";"6";"590";"14";"9";"15";"2";"11";"1";"18";"0";"0";"0";"3.5";"5.3";"36";"53";"57";"96";"9";"74";"10";"72";"com net";"1.22";"100";"3";"0";"0";"";"";"1";"";"";"";"1";"";"";"";"2020-01-15 13:05";"0"
"";"";"7";"keto pizza dough recipe";"en";"US";"4";"720";"18";"11";"17";"3";"17";"1";"21";"0";"0";"0";"4";"4.7";"40";"47";"59";"81";"77";"320";"56";"205";"com net";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:04";"0"
"";"";"7";"orange office chair";"en";"US";"3";"880";"22";"14";"24";"3";"16";"1";"39";"2";"0";"7";"4";"5.1";"40";"51";"85";"96";"0";"0";"1";"3";"com net";"3.6";"100";"13";"0";"2";"1";"";"";"1";"";"";"1";"";"";"";"2020-01-15 12:58";"0"
"";"";"7";"plus size mother of the bride dresses with sleeves";"en";"US";"9";"880";"22";"14";"29";"3";"22";"1";"11";"0";"0";"0";"4.2";"5.5";"42";"55";"67";"96";"14";"65";"17";"63";"com net";"1.04";"100";"4";"4";"3";"1";"";"";"1";"";"";"1";"";"";"";"2020-01-14 17:21";"0"
"";"";"7";"wtoo bridal";"en";"US";"2";"1000";"25";"15";"32";"4";"23";"1";"10";"3";"0";"3";"3.7";"5.4";"37";"54";"52";"84";"6191";"31412";"452";"2943";"com net";"1.35";"100";"5";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:01";"0"
"";"";"7";"universal studios package deals";"en";"US";"4";"880";"22";"14";"24";"3";"25";"1";"15";"0";"0";"0";"4.3";"5";"43";"50";"61";"90";"44";"140";"75";"129";"com net";"1.83";"50";"6";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:06";"0"
"";"";"7";"hyundai cars for sale";"en";"US";"4";"1000";"25";"15";"29";"4";"26";"1";"19";"3";"0";"3";"4.1";"4.9";"41";"49";"69";"83";"1107";"10868";"31";"130";"c-o-m net";"2.54";"50";"10";"1";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:01";"0"
"";"";"7";"adams law";"en";"US";"2";"1000";"25";"15";"29";"4";"24";"1";"22";"9";"7";"7";"2.7";"5.2";"27";"52";"25";"98";"271";"1394";"36";"119";"check";"8.8";"0";"35";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 12:59";"0"
"";"";"6";"gtr engine for sale";"en";"US";"4";"480";"12";"8";"15";"2";"9";"1";"16";"0";"0";"1";"3.4";"4.6";"34";"46";"49";"94";"12";"48";"7";"25";"com net";"1.38";"100";"3";"0";"0";"";"";"";"";"";"";"";"1";"";"";"2020-01-15 13:05";"0"
"";"";"6";"talbots plus size dresses";"en";"US";"4";"1000";"26";"15";"23";"4";"15";"1";"22";"4";"0";"2";"4.2";"5.2";"42";"52";"77";"94";"24";"159";"15";"58";"com net";"1.66";"100";"7";"0";"1";"";"";"";"";"";"";"";"1";"";"";"2020-01-15 12:57";"0"
"";"";"6";"solid wood writing desk";"en";"US";"4";"1000";"26";"15";"31";"4";"22";"1";"27";"2";"0";"4";"4";"5.1";"40";"51";"78";"96";"2";"21";"7";"47";"com net";"1.55";"100";"6";"1";"3";"1";"";"";"1";"";"";"1";"1";"";"";"2020-01-15 12:58";"0"
"";"";"6";"aggregate driveway";"en";"US";"2";"1000";"27";"15";"34";"4";"27";"1";"14";"4";"0";"7";"3.9";"5.2";"39";"52";"62";"94";"5";"32";"11";"52";"com net";"4.66";"50";"19";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:00";"0"
"";"";"6";"dominos free delivery coupon";"en";"US";"4";"1300";"35";"20";"40";"5";"30";"1";"35";"0";"0";"0";"5";"5.9";"50";"59";"70";"93";"766";"4951";"207";"420";"com net";"2.67";"0";"14";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 12:58";"0"
"";"";"6";"mens dressing styles casual";"en";"US";"4";"880";"24";"14";"19";"3";"30";"1";"17";"0";"0";"0";"4.3";"5.6";"43";"56";"67";"94";"41";"226";"30";"95";"com net";"3.7";"100";"13";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:02";"0"
"";"";"6";"modern conference room tables";"en";"US";"4";"720";"19";"11";"17";"3";"18";"1";"26";"1";"0";"1";"3.7";"5.1";"37";"51";"53";"96";"39";"288";"19";"63";"c-o-m net";"9.15";"100";"26";"4";"3";"1";"";"";"";"";"";"1";"";"";"";"2020-01-15 12:59";"0"
"";"";"6";"daniel fast meal plan";"en";"US";"4";"880";"24";"14";"20";"3";"13";"1";"52";"2";"0";"0";"3.6";"5.5";"36";"55";"58";"94";"25";"145";"21";"72";"c-o-m net";"1.41";"0";"5";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:00";"0"
"";"";"6";"morris minor for sale";"en";"US";"4";"1000";"27";"15";"45";"4";"20";"1";"15";"5";"0";"3";"3.6";"4.4";"36";"44";"65";"92";"1";"5";"4";"15";"com net";"0.93";"100";"4";"1";"0";"1";"";"";"";"";"";"";"1";"";"";"2020-01-15 12:58";"0"
"";"";"6";"bridal shower cake toppers";"en";"US";"4";"1000";"27";"15";"30";"4";"36";"1";"7";"1";"0";"2";"4.1";"5.2";"41";"52";"77";"96";"0";"0";"2";"14";"com net";"0.55";"100";"2";"0";"1";"1";"";"1";"1";"";"";"1";"";"";"";"2020-01-15 12:58";"0"
"";"";"6";"all inclusive vacations couples";"en";"US";"4";"1000";"27";"15";"30";"4";"33";"1";"18";"2";"0";"0";"4.3";"5.9";"43";"59";"71";"93";"20";"71";"46";"105";"com net";"1.94";"67";"8";"4";"0";"1";"";"";"";"";"";"";"";"";"";"2019-12-31 20:46";"0"
"";"";"6";"best party all inclusive resorts";"en";"US";"5";"590";"16";"9";"18";"2";"15";"1";"16";"0";"0";"0";"3.8";"4.9";"38";"49";"73";"93";"11";"66";"7";"28";"com net";"1.6";"0";"4";"1";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:01";"0"
"";"";"6";"bmw 325is for sale";"en";"US";"4";"1000";"28";"15";"32";"4";"22";"1";"33";"8";"0";"2";"3.4";"4.6";"34";"46";"66";"94";"0";"0";"0";"2";"com net";"0.81";"74";"3";"0";"0";"1";"";"";"";"";"";"";"1";"";"";"2020-01-14 20:17";"0"
"";"";"6";"solar installation companies";"en";"US";"3";"1000";"28";"15";"29";"4";"31";"1";"19";"3";"0";"0";"4.3";"5.4";"43";"54";"58";"80";"1891";"15724";"413";"3086";"com net";"14.15";"0";"57";"1";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 12:59";"0"
