"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"";"";"17";"galia lahav prices";"en";"US";"3";"1000";"10";"15";"16";"4";"6";"1";"6";"0";"0";"0";"2.8";"5.1";"28";"51";"43";"63";"801";"7196";"177";"1580";"com net";"1.1";"100";"4";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:14";"0"
"";"";"17";"eeoc lawyer";"en";"US";"2";"1300";"12";"20";"21";"5";"11";"1";"6";"4";"0";"2";"2.8";"4.3";"28";"43";"38";"69";"1";"6";"6";"17";"n-e-t";"6.91";"50";"36";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:11";"0"
"";"";"17";"scaffolding companies near me";"en";"US";"4";"880";"9";"14";"11";"3";"6";"1";"10";"0";"0";"0";"2.8";"4.5";"28";"45";"28";"93";"311";"2323";"46";"99";"c-o-m net";"5.41";"100";"19";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:16";"0"
"";"";"15";"plus size boutique dresses";"en";"US";"4";"1000";"11";"15";"12";"4";"13";"1";"8";"1";"0";"0";"3.1";"4.3";"31";"43";"29";"67";"57";"321";"74";"278";"com net";"1.29";"100";"5";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 17:25";"0"
"";"";"15";"vacation express travel agent";"en";"US";"4";"1300";"15";"20";"10";"5";"22";"1";"9";"2";"0";"1";"3.3";"5.1";"33";"51";"51";"51";"551";"5497";"159";"1555";"com net";"2.55";"0";"13";"1";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:16";"0"
"";"";"13";"paternity lawyer";"en";"US";"2";"720";"9";"11";"14";"3";"6";"1";"7";"2";"0";"2";"2.6";"4.7";"26";"47";"41";"84";"6";"33";"3";"10";"c-o-m net";"8.38";"50";"24";"3";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:09";"0"
"";"";"13";"r and r motors";"en";"US";"4";"720";"9";"11";"3";"3";"8";"1";"17";"1";"2";"2";"2.2";"3.6";"23";"36";"29";"77";"13";"56";"9";"29";"c-o-m n-e-t";"2.87";"0";"8";"0";"0";"";"";"1";"";"";"1";"";"";"";"";"2020-01-15 13:19";"0"
"";"";"12";"officemax file cabinet";"en";"US";"3";"1000";"14";"15";"12";"4";"16";"1";"0";"1";"0";"1";"3.5";"3.7";"35";"37";"76";"76";"0";"0";"0";"1";"com net";"14.34";"100";"57";"0";"0";"";"";"";"1";"";"";"";"";"";"";"2020-01-15 13:17";"0"
"";"";"12";"plus size bridal shops";"en";"US";"4";"880";"13";"14";"15";"3";"16";"1";"6";"0";"0";"0";"3.3";"4.9";"33";"49";"41";"74";"533";"3043";"50";"139";"com net";"2.07";"100";"7";"3";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 17:15";"0"
"";"";"11";"easy cash loans";"en";"US";"3";"1000";"15";"15";"8";"4";"18";"1";"18";"3";"0";"1";"3.3";"4.7";"33";"47";"42";"80";"1009";"8493";"163";"874";"net";"4.17";"20";"17";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 08:29";"0"
"";"";"11";"marys quinceanera";"en";"US";"2";"880";"13";"14";"22";"3";"11";"1";"5";"3";"0";"7";"2.9";"3.8";"29";"38";"40";"49";"59";"279";"8";"43";"com net";"1.87";"100";"7";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-15 13:15";"0"
"";"";"11";"aggregates near me";"en";"US";"3";"880";"13";"14";"23";"3";"11";"1";"7";"0";"0";"0";"3.3";"5";"33";"50";"29";"51";"22199";"184012";"544";"1870";"com net";"5.28";"0";"19";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:18";"0"
