"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019"
"jjshouse wedding",220,"United States",0.95,99,34,"","","","","","","","","","",390,170,170,210,170,90,140,320,590,1000,1900,140,170,140,320,320,480,170,210,260,390,720,320,110,390,210,260,210,260,210,320,480,260,170,320,320,390,260,260,210,140,170,210,320,260,210,110,140
"sears plus size formal dresses",310,"United States",0.83,100,26,"","","","","","","","","","",390,320,320,260,210,210,320,210,260,1300,1000,720,1600,1300,1300,1300,1000,720,720,880,720,720,720,590,1000,720,1000,1000,880,480,480,720,880,720,590,320,590,590,480,260,480,210,260,210,210,260,140,90
"think thin bars keto",510,"United States",1.72,100,,"","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,70,40,110,140,260,260,390,320,320,390,390,390,,,720,1300,1300,480,390,390,590,320,210,210,140,90
"4 week challenge diet",190,"United States",,9,,"","","","","","","","","","",,,,,,,,,,,10,20,50,40,10,10,10,10,10,10,10,10,10,10,390,880,880,480,590,260,390,590,480,170,90,70,260,320,260,210,110,170,260,210,210,210,70,50
"high carb low calorie foods",730,"United States",0.54,22,,"","","","","","","170","110","90","140",260,210,140,210,260,260,260,320,390,320,210,210,590,480,390,480,590,480,480,390,260,390,320,320,720,590,590,590,590,480,590,480,480,480,390,320,880,880,880,880,880,720,880,720,590,590,480,480
"goal zero boulder 30",150,"United States",1.06,100,29,"","","","","","","","","","",,140,170,170,260,260,210,170,140,170,140,170,170,140,210,170,260,260,210,170,210,210,140,140,140,140,140,140,140,260,170,210,110,90,140,170,140,140,140,210,210,210,170,140,110,140,140,110
"poly yard cart",150,"United States",0.93,100,,"","","","","","40","40","40","70","50",30,20,90,110,170,110,70,50,50,50,70,30,40,70,140,170,210,140,110,90,90,70,70,170,40,90,140,260,260,210,140,140,140,90,90,90,90,110,170,320,260,210,170,110,110,90,90,140
"shovel price",330,"United States",0.6,100,43,"","","","","110","110","110","170","140","140",590,210,260,260,260,210,140,170,170,260,170,210,260,320,480,320,320,210,170,210,260,210,210,320,390,390,390,390,390,320,320,320,320,260,320,320,480,390,480,320,390,260,260,210,210,320,390,320
"succulent farm near me",360,"United States",0.62,13,,"","","","","","","","","","",,,,,,,,,70,50,20,30,110,90,110,170,170,210,320,210,170,140,70,70,140,210,320,320,390,320,390,260,320,210,140,110,210,320,320,390,590,390,480,480,390,320,260,170
"forever new dresses",230,"United States",0.84,100,,"","","","","","","","","","",,,,,,,,,110,90,90,140,90,110,110,170,260,210,90,70,,,,,,,,210,140,140,110,90,320,110,260,170,140,210,170,320,260,260,320,260,260,210,210,170
"free dating sites for people over 50",240,"United States",3.25,76,,"","","","","","90","90","40","90","110",110,110,110,140,140,110,110,140,90,140,110,140,140,110,50,40,50,50,40,70,40,40,40,40,70,70,90,70,70,70,90,90,70,70,90,70,110,90,110,90,90,90,170,210,320,590,720,390
"cheap beach getaways",440,"United States",1.53,34,38,"","","","590","590","320","210","170","140","210",320,390,480,390,590,720,720,390,260,210,210,320,720,880,720,590,720,880,720,390,170,170,170,260,480,590,590,590,720,880,720,480,260,170,210,260,480,590,590,590,590,720,590,320,210,210,170,260
"black and gold invitations",830,"United States",1.29,100,,"","","","","","","","390","390","480",880,590,720,590,590,390,480,720,880,880,720,720,1000,1000,880,720,720,590,720,720,880,720,880,590,1000,880,880,720,720,590,720,720,720,880,720,590,1000,720,720,720,590,590,880,880,1000,1000,1000,880
"how to lose weight in 2 months at home",120,"United States",2.72,33,,"","","","20","10","10","10","10","10","10",20,20,10,10,10,50,10,10,10,10,30,30,90,90,110,90,50,90,70,70,40,40,20,20,70,70,210,170,170,170,140,110,90,90,50,50,110,90,140,140,170,260,170,90,90,90,70,70
"male diet plan",100,"United States",1.54,67,,"","","","","","140","140","90","90","110",210,210,170,140,140,110,140,140,110,90,140,110,210,170,170,170,170,110,140,170,110,140,110,110,210,170,170,170,90,90,170,140,140,90,90,90,170,110,110,110,110,110,140,110,90,90,90,50
