"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019"
"mr2 for sale",4700,"United States",0.4,68,37,"","","","","","","","",2400,2900,2900,2900,2900,2900,2900,2900,2400,2900,2900,2900,2400,2400,2900,2900,2900,2900,2900,2900,3600,2900,3600,3600,2900,4400,"","","",4400,4400,3600,4400,4400,4400,4400,3600,4400,5400,4400,4400,5400,4400,4400,5400,4400,5400,4400,4400,4400
"zayo stock",7800,"United States",0.1,2,,"","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,14800,14800,14800,22200,12100,3600,2400,2900,1600,1600,1900,1300
"plus size vintage wedding dresses",1600,"United States",0.68,100,41,"","","","","","1600","1900","1900",1900,1600,3600,2400,1900,2400,1900,1900,1900,1900,3600,3600,2900,2400,4400,3600,3600,2900,2900,2400,3600,2900,2400,2900,2400,2400,"4400","3600","2900",2400,2400,1900,1300,1300,1600,1600,1300,1300,2400,1900,1600,1300,1300,1600,1900,1900,1900,1900,1300,1300
"how to lose weight in 30 days",4000,"United States",2.7,44,46,"","","","","","1600","1300","1600",1900,1900,2400,1600,2400,2900,2900,1900,2400,2400,2400,1900,1600,1000,2400,2400,2900,2900,2400,1900,1900,1900,2400,2900,3600,2400,"3600","2900","2900",3600,3600,5400,4400,2900,3600,4400,2900,1900,2400,2900,4400,5400,3600,3600,5400,4400,4400,4400,3600,3600
"simple black dress",4100,"United States",1.28,100,42,"","","","","","","4400","3600",2400,2400,2900,2900,2900,3600,3600,1900,2400,2900,4400,4400,2900,2900,4400,3600,3600,4400,4400,2900,3600,3600,4400,4400,3600,2900,"4400","3600","3600",3600,4400,2900,2900,3600,5400,5400,3600,2900,3600,3600,4400,3600,4400,2400,3600,4400,6600,5400,4400,3600
"general insurance quote",3400,"United States",23.73,81,43,"","","","","3600","1600","1600","4400",6600,3600,2900,2400,8100,9900,1600,1900,3600,14800,1900,2400,1900,8100,18100,2400,2900,9900,22200,27100,40500,27100,4400,14800,12100,14800,"12100","14800","33100",18100,18100,6600,8100,8100,1600,1600,9900,2400,2400,2900,8100,5400,2400,2400,3600,3600,2400,2900,2900,2400
"truck accident lawyer",10300,"United States",220.4,18,45,"","","","","","","720","1000",720,480,170,720,1000,880,1300,590,1600,1900,2900,3600,4400,2900,2900,2900,2900,2400,2900,2400,2900,3600,3600,4400,2900,5400,"4400","3600","4400",4400,3600,3600,5400,4400,5400,5400,2900,4400,4400,9900,6600,9900,8100,4400,8100,18100,14800,9900,12100,18100
"ihg travel agent",1800,"United States",4.12,1,32,"","","","","","","","",,,,720,880,880,880,880,880,880,880,880,590,720,880,880,1000,1000,1000,1000,1000,1000,1000,1000,880,880,"1300","1300","1300",1300,1600,1600,1600,1600,1300,1600,1300,1000,1600,1600,1900,1900,1900,1900,2400,1900,1900,1900,1900,1900
"trxc stock price",3200,"United States",,0,,"","","","","","","","",,,,,,,2400,1000,720,880,590,880,590,590,880,880,880,720,,880,720,1000,1900,8100,5400,3600,"2900","2400","2400",1900,4400,6600,6600,6600,6600,6600,4400,2900,2400,2400,1900,1900,4400,2400,3600,4400,4400,4400,3600,3600
"low carb salad dressing",6100,"United States",0.28,100,35,"","","","","","","1600","1900",1600,1300,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2400,2400,6600,4400,5400,5400,4400,4400,4400,4400,3600,4400,3600,3600,"8100","6600","6600",8100,6600,6600,6600,8100,6600,5400,4400,4400,12100,8100,6600,6600,6600,5400,5400,5400,5400,4400,3600,3600
