"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019"
"ford lightning for sale",11800,"United States",2.13,55,31,"","","",6600,8100,8100,6600,8100,6600,8100,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,8100,8100,9900,9900,9900,8100,8100,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,6600,6600,6600,6600,8100,8100,9900,12100,9900,8100,9900,12100,12100,12100,12100,14800,14800,12100,12100
"freightliner dealer near me",13000,"United States",2.81,9,,"","","",,,,,,1900,1900,1900,2400,2400,2900,3600,4400,3600,4400,5400,6600,5400,3600,4400,4400,5400,5400,6600,6600,6600,8100,8100,8100,6600,8100,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,9900,12100,12100,12100,12100,12100,12100,14800,14800,14800,12100,14800,12100,12100
"dominos stock",12600,"United States",3.61,1,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9900,14800,14800,14800,12100,8100,18100,12100,9900,14800,9900,12100
"navy blue prom dresses",3100,"United States",0.44,100,42,"","","",,,2400,3600,2900,3600,4400,14800,14800,22200,27100,14800,4400,2900,3600,5400,5400,4400,5400,18100,18100,27100,27100,14800,4400,3600,4400,5400,5400,5400,5400,5400,5400,8051,8051,3600,1070,1070,1070,1313,1605,1313,1605,5400,5400,6591,6591,2943,1070,1070,1313,1970,1605,1605,1970
"panera coupons",21600,"United States",1.58,2,41,"","","",,,,8100,9900,8100,9900,8100,8100,9900,9900,9900,9900,9900,12100,12100,14800,18100,18100,18100,14800,14800,14800,14800,14800,22200,18100,18100,22200,22200,27100,22200,18100,18100,18100,18100,18100,18100,18100,18100,22200,18100,22200,27100,27100,22200,22200,22200,18100,18100,22200,18100,22200,22200,18100
"secretary desk",30700,"United States",1.26,100,41,"","","",,,,22200,22200,22200,22200,33100,27100,27100,27100,22200,22200,27100,27100,27100,27100,27100,27100,33100,27100,27100,22200,22200,22200,27100,27100,22200,22200,27100,27100,33100,27100,27100,27100,27100,27100,27100,27100,33100,27100,33100,27100,40500,27100,27100,27100,27100,27100,33100,33100,33100,27100,33100,33100
"bodycon",11000,"United States",1.07,100,38,"","","",,,,,,8100,12100,12100,12100,12100,12100,12100,9900,9900,12100,18100,14800,9900,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,12100,9900,9900,9900,9900,9900,12100,9900,8100,9900,14800,12100,9900,9900,9900,9900,8100,12100,9900,12100,9900,12100,12100,14800,12100,9900,9900
"cheap maternity clothes",16100,"United States",1.16,100,44,"","","",,,18100,18100,18100,14800,12100,18100,22200,22200,18100,14800,14800,14800,18100,18100,18100,14800,12100,18100,22200,27100,22200,22200,18100,22200,22200,22200,18100,14800,14800,22200,22200,22200,22200,18100,14800,18100,18100,18100,18100,14800,12100,18100,18100,22200,18100,18100,14800,14800,18100,14800,14800,12100,9900
"quinoa nutrition facts",11200,"United States",0.19,1,53,"","","",,2900,2400,2900,5400,2400,1600,6600,12100,8100,5400,6600,5400,5400,5400,6600,5400,4400,4400,8100,9900,14800,9900,8100,8100,14800,12100,5400,5400,5400,6600,14800,14800,14800,14800,12100,9900,12100,12100,12100,9900,9900,8100,18100,12100,14800,12100,9900,9900,9900,9900,9900,9900,9900,8100
"chrysler crossfire",20600,"United States",1.11,15,44,"","","22200",22200,22200,22200,18100,18100,14800,14800,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,18100,22200,22200,22200,18100,22200,22200,18100,18100,14800,14800,14800,14800,18100,18100,22200,18100,18100,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,27100,27100,22200,22200,22200,18100
"navient student loans",45400,"United States",4.79,8,50,"","","",,,,,,,,,,60500,40500,201000,246000,165000,40500,33100,201000,246000,49500,49500,40500,74000,60500,49500,74000,33100,40500,90500,201000,90500,33100,74000,110000,74000,60500,33100,49500,49500,74000,40500,49500,40500,33100,60500,49500,49500,40500,40500,33100,40500,40500,49500,40500,40500,60500
"walnuts nutrition",13200,"United States",0.94,10,33,"","","",,5400,5400,6600,5400,6600,6600,8100,8100,8100,8100,8100,8100,6600,6600,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,18100,14800,14800,14800,14800,14800,14800,14800,12100,12100,9900,9900,18100,14800,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100
"liberty mutual auto insurance",11300,"United States",10.62,59,59,"","","",,,,,,,,12100,4400,8100,14800,18100,6600,3600,8100,18100,14800,4400,3600,12100,18100,14800,4400,4400,9900,18100,12100,5400,5400,12100,12100,8100,5400,8100,12100,9900,8100,9900,12100,9900,8100,8100,8100,9900,12100,12100,12100,9900,12100,12100,12100,12100,12100,9900,9900
"dietitian",38000,"United States",4.31,8,40,"","","",,,33100,33100,33100,27100,27100,49500,49500,49500,49500,49500,40500,40500,49500,49500,49500,40500,40500,60500,49500,60500,49500,49500,49500,49500,49500,40500,49500,40500,40500,49500,40500,40500,40500,40500,33100,40500,40500,33100,40500,33100,33100,40500,40500,40500,40500,33100,33100,40500,40500,40500,40500,33100,33100
"wood file cabinet",23200,"United States",1.85,100,39,"","","",,,18100,14800,14800,18100,18100,27100,22200,18100,18100,14800,14800,18100,18100,18100,22200,22200,22200,33100,27100,27100,22200,18100,18100,22200,22200,18100,22200,22200,22200,33100,22200,22200,22200,22200,22200,22200,27100,22200,22200,22200,22200,33100,27100,27100,22200,18100,18100,22200,22200,22200,22200,22200,22200
"best stocks to invest in",17000,"United States",3.58,41,38,"","","",,,,4400,9900,12100,12100,12100,8100,18100,18100,8100,4400,4400,8100,14800,12100,6600,6600,9900,9900,12100,18100,14800,12100,9900,8100,8100,14800,14800,18100,18100,9900,9900,8100,9900,8100,6600,8100,12100,12100,9900,6600,9900,9900,9900,14800,12100,18100,27100,12100,14800,27100,27100,22200
"investor village",15100,"United States",9.87,0,,"","","",,,,,,,,12100,12100,12100,9900,12100,9900,14800,18100,22200,18100,18100,18100,18100,18100,18100,14800,18100,18100,14800,14800,14800,14800,14800,12100,18100,14800,14800,14800,14800,14800,14800,18100,14800,18100,14800,14800,18100,14800,18100,14800,14800,14800,14800,14800,12100,14800,14800,14800
"amzn stock",536000,"United States",12.63,0,44,"","","",,,,,,,,,,,,450000,368000,450000,301000,368000,550000,550000,450000,550000,673000,550000,823000,,,,,,,,,1500000,2240000,2240000,2740000,1500000,1500000,823000,673000,673000,1220000,1000000,823000,823000,550000,550000,673000,550000,450000,550000,550000,368000,550000,368000,450000
"no carb diet",33500,"United States",1.06,41,49,"","","",,,,27100,22200,22200,22200,40500,33100,40500,40500,40500,33100,33100,33100,33100,33100,27100,33100,49500,40500,49500,49500,49500,49500,40500,40500,33100,33100,33100,27100,49500,40500,49500,49500,49500,40500,40500,40500,33100,33100,27100,27100,49500,40500,40500,40500,33100,33100,33100,33100,27100,27100,22200,22200
"h&m dresses",18000,"United States",0.72,100,51,"","","",,,,,,,,,,,22200,33100,27100,27100,27100,22200,27100,22200,22200,18100,18100,27100,33100,33100,27100,27100,22200,22200,18100,18100,18100,12100,12100,18100,18100,22200,18100,14800,14800,14800,12100,14800,14800,12100,9900,14800,22200,27100,18100,18100,18100,22200,18100,18100,18100
"carbs in rice",28500,"United States",1.71,1,41,"","","",,4400,5400,4400,4400,3600,3600,6600,6600,6600,6600,6600,5400,6600,6600,14800,14800,12100,12100,22200,18100,22200,22200,18100,18100,18100,18100,18100,18100,18100,14800,27100,22200,27100,27100,27100,27100,27100,27100,27100,22200,22200,18100,40500,33100,33100,33100,27100,27100,27100,27100,27100,27100,22200,18100
"coca cola stock price",11500,"United States",4.34,3,,"","","",,,,,,,,8100,8100,9900,9900,8100,8100,8100,8100,8100,8100,12100,12100,12100,14800,14800,12100,12100,12100,12100,12100,9900,12100,12100,12100,18100,18100,12100,12100,12100,9900,9900,9900,9900,12100,12100,9900,9900,12100,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100
"adidas jacket",45400,"United States",1.4,100,37,"","","",,,18100,18100,27100,40500,60500,49500,74000,60500,49500,49500,40500,49500,60500,60500,74000,110000,135000,90500,74000,74000,60500,49500,40500,49500,60500,74000,90500,110000,135000,74000,60500,74000,49500,40500,33100,49500,60500,49500,60500,90500,90500,60500,49500,49500,40500,33100,27100,33100,40500,40500,49500,60500,60500
"shld stock",14300,"United States",0.82,0,,"","","",,,,,,,,,,,,,,2400,3600,3600,5400,4400,9900,9900,18100,18100,14800,14800,14800,14800,9900,5400,12100,14800,8100,12100,12100,18100,18100,22200,18100,14800,33100,33100,74000,22200,18100,40500,40500,22200,14800,12100,8100,8100,6600,5400,5400,4400,4400
"ms stock",20700,"United States",,0,48,"","","",,,,,,,5400,8100,12100,9900,14800,8100,14800,14800,9900,6600,12100,14800,12100,18100,18100,18100,18100,12100,14800,18100,,9900,14800,9900,14800,22200,14800,14800,22200,22200,22200,27100,18100,14800,27100,18100,22200,40500,18100,18100,27100,14800,14800,22200,18100,14800,27100,18100,14800
"car accident lawyer",54100,"United States",241.3,44,41,"","","",,,,9900,9900,12100,12100,12100,12100,12100,14800,14800,14800,14800,18100,22200,22200,22200,18100,22200,18100,22200,22200,22200,22200,27100,33100,27100,33100,22200,27100,27100,27100,27100,27100,33100,27100,27100,33100,27100,33100,27100,33100,33100,49500,40500,49500,33100,33100,40500,90500,110000,49500,60500,60500
"high calorie foods",23400,"United States",0.27,9,39,"","","12100",12100,9900,9900,9900,9900,9900,9900,14800,12100,14800,12100,12100,12100,12100,12100,14800,14800,14800,14800,22200,18100,18100,18100,18100,18100,18100,18100,14800,18100,18100,14800,27100,22200,27100,22200,22200,22200,22200,22200,18100,22200,18100,18100,27100,22200,27100,22200,22200,22200,27100,22200,22200,22200,22200,22200
