Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
swimsuits,5000000,3350000,7480000,9140000,6120000,11100000,11100000,6120000,2240000,1000000,823000,823000,1000000,-70,1.99,100
"baby boy clothes",1220000,1220000,1000000,1220000,1220000,1000000,1000000,1220000,1000000,1220000,1000000,1220000,1220000,0,0.98,100
"swimsuits for women",1220000,823000,673000,1220000,1830000,2740000,2740000,2240000,1000000,450000,301000,246000,550000,-33,2.40,100
"kohls coupons",1220000,1000000,823000,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1000000,1500000,1830000,83,0.12,100
"women's activewear",1000000,1500000,1000000,1220000,1000000,1000000,823000,823000,673000,550000,673000,1220000,1220000,-19,2.32,100
"apple stock",1000000,1830000,823000,1000000,1000000,1000000,673000,823000,823000,823000,823000,823000,823000,-55,4.44,1
"plus size swimsuits",673000,450000,823000,1220000,1220000,1500000,1500000,1000000,368000,165000,110000,90500,90500,-80,2.20,100
"toddler clothes",673000,368000,550000,673000,368000,450000,550000,450000,673000,550000,823000,1500000,1500000,308,1.52,100
"boeing stock",673000,301000,368000,2740000,1000000,550000,450000,550000,450000,368000,550000,368000,673000,124,3.42,1
"womens bathing suits",673000,673000,673000,1000000,1000000,1220000,1220000,823000,301000,135000,90500,110000,246000,-63,2.83,100
"ulta coupon",550000,550000,450000,550000,450000,550000,450000,450000,450000,450000,550000,673000,1000000,82,0.26,100
"mortgage rates",550000,368000,301000,450000,450000,450000,550000,550000,1000000,673000,550000,368000,301000,-18,7.66,86
"ford dealership",550000,450000,550000,550000,550000,550000,550000,673000,673000,550000,673000,550000,673000,50,8.04,28
"aapl stock",550000,823000,450000,550000,550000,550000,368000,450000,550000,368000,550000,450000,550000,-33,2.61,0
"honda dealership",450000,368000,368000,450000,450000,450000,450000,550000,550000,450000,450000,368000,368000,0,6.47,37
"black dress",450000,368000,368000,450000,550000,550000,450000,450000,450000,450000,550000,450000,368000,0,1.12,100
stock,368000,450000,301000,368000,301000,450000,301000,301000,550000,368000,368000,368000,368000,-18,4.16,24
"msft stock",301000,301000,201000,246000,301000,246000,246000,368000,301000,246000,450000,301000,301000,0,4.27,0
"t stock",301000,368000,301000,301000,368000,301000,246000,301000,301000,368000,301000,301000,246000,-33,3.02,0
"health insurance",246000,301000,246000,246000,246000,246000,201000,246000,246000,246000,301000,301000,301000,0,26.08,93
"roblox promo codes",246000,60500,135000,74000,135000,301000,246000,550000,301000,246000,246000,301000,301000,398,1.21,25
"bynd stock",246000,9900,6600,5400,12100,450000,673000,550000,368000,201000,301000,246000,165000,1567,4.37,0
"leather jacket",246000,301000,246000,301000,201000,201000,135000,165000,201000,246000,450000,450000,368000,22,1.59,100
"classic cars for sale",246000,201000,165000,201000,165000,165000,246000,301000,301000,301000,246000,246000,246000,22,0.77,75
"shirt dress",246000,201000,201000,246000,301000,368000,301000,301000,246000,301000,246000,246000,201000,0,1.80,100
sweatpants,246000,301000,201000,201000,135000,135000,110000,135000,165000,165000,368000,450000,368000,22,1.53,100
"dsw coupon",246000,201000,165000,246000,246000,246000,246000,201000,301000,246000,301000,301000,301000,50,0.45,100
gown,246000,110000,110000,165000,301000,368000,246000,368000,135000,90500,368000,673000,74000,-33,1.43,100
