Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"dresses for women",6120000,5000000,4090000,6120000,9140000,7480000,6120000,6120000,4090000,4090000,4090000,5000000,4090000,-18,1.26,100
sweater,2740000,1220000,673000,673000,1000000,1000000,673000,673000,673000,1220000,6120000,11100000,6120000,402,1.69,100
"baby clothes",1830000,2240000,1830000,1830000,1500000,1500000,1500000,1500000,1500000,2740000,1830000,2740000,2240000,0,1.28,100
loans,1500000,301000,201000,246000,301000,301000,301000,368000,7480000,7480000,301000,301000,301000,0,8.14,86
"junior dresses",1000000,823000,550000,1220000,1830000,1830000,1220000,1000000,823000,1000000,550000,550000,368000,-55,1.00,100
"jeans for women",1000000,1220000,823000,823000,673000,673000,550000,550000,823000,1000000,1220000,1500000,1500000,23,1.99,100
"ge stock",823000,1220000,1000000,1000000,823000,673000,550000,550000,1000000,550000,673000,673000,550000,-55,2.20,0
"plus size tops",823000,450000,450000,823000,1000000,1000000,1000000,823000,823000,823000,673000,673000,673000,50,1.40,100
"maternity dresses",673000,823000,673000,1000000,1000000,1000000,823000,673000,673000,550000,550000,450000,368000,-55,1.24,100
"mens pants",673000,673000,550000,673000,823000,823000,673000,550000,673000,673000,823000,1000000,1000000,49,2.33,100
"uber stock",673000,33100,33100,90500,165000,2740000,823000,450000,823000,550000,550000,1000000,550000,1562,4.75,0
"dress sale",673000,12100,12100,301000,1830000,823000,2740000,823000,18100,14800,12100,823000,450000,3619,1.30,100
"girls dresses",550000,550000,550000,673000,823000,673000,450000,450000,368000,368000,450000,823000,823000,50,1.14,100
"clothing store",550000,301000,368000,450000,450000,550000,550000,673000,823000,673000,673000,550000,550000,83,1.91,54
"car insurance",450000,450000,450000,550000,450000,368000,450000,450000,450000,450000,450000,368000,368000,-18,99.90,86
"nvidia stock",450000,673000,550000,550000,450000,550000,368000,368000,450000,301000,368000,450000,368000,-45,2.17,1
"payday loans",450000,450000,368000,301000,450000,450000,450000,550000,550000,550000,450000,450000,550000,22,5.89,1
insurance,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,0,55.21,56
"formal dresses",368000,450000,450000,450000,450000,368000,246000,246000,246000,368000,301000,301000,246000,-45,1.10,100
