Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"maternity tops",450000,450000,368000,450000,550000,450000,368000,301000,368000,450000,450000,450000,450000,0,1.68,100
"toddler girl dresses",110000,49500,49500,74000,90500,74000,110000,135000,135000,135000,135000,165000,165000,233,0.97,100
"workout shirts",74000,74000,49500,60500,60500,60500,110000,60500,60500,49500,60500,74000,90500,22,1.82,100
"best divorce attorney",49500,12100,40500,110000,60500,60500,74000,74000,40500,18100,18100,14800,8100,-33,9.23,11
"slim jeans",27100,5400,5400,18100,27100,9900,14800,22200,33100,27100,40500,60500,60500,1020,2.01,100
"nursing tank tops",22200,18100,14800,14800,18100,22200,22200,22200,22200,18100,27100,33100,33100,83,1.48,100
"gym shorts men",18100,14800,12100,14800,18100,18100,22200,27100,22200,14800,14800,18100,22200,50,2.47,100
"cadillac dts",14800,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,0,1.31,14
"90s outfits women",14800,14800,14800,14800,14800,14800,12100,12100,9900,18100,22200,9900,8100,-45,0.51,100
"2013 bmw 328i",14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,0,1.71,19
"peach dress",14800,14800,14800,18100,22200,18100,14800,14800,12100,12100,8100,6600,5400,-64,0.91,100
"20s dresses",14800,12100,9900,9900,8100,6600,5400,6600,8100,12100,18100,22200,60500,400,0.83,100
"white jacket",14800,14800,14800,18100,14800,14800,12100,12100,12100,12100,18100,18100,18100,22,1.23,100
"white sweatpants",14800,9900,8100,8100,8100,6600,5400,6600,8100,12100,60500,18100,22200,124,0.91,100
"how to lose lower belly fat",14800,12100,12100,14800,14800,18100,18100,18100,14800,12100,12100,12100,12100,0,2.96,6
"sherri hill dresses",14800,22200,18100,18100,14800,9900,6600,9900,12100,18100,12100,9900,8100,-64,0.44,100
"fuzzy sweater",14800,22200,12100,6600,2900,2900,2400,2900,5400,9900,22200,40500,49500,123,1.23,100
"caftan dress",14800,8100,12100,14800,14800,27100,18100,18100,14800,9900,8100,8100,8100,0,1.23,100
"business casual attire for women",14800,14800,14800,14800,14800,14800,12100,12100,14800,18100,18100,14800,9900,-33,2.35,100
"drafting chair",14800,22200,14800,14800,12100,12100,9900,12100,14800,12100,12100,12100,18100,-18,2.99,100
"accenture stock",12100,12100,8100,12100,12100,12100,9900,12100,12100,12100,9900,9900,14800,22,2.46,0
"oversized jean jacket",12100,9900,9900,12100,12100,9900,8100,9900,12100,14800,18100,22200,18100,83,1.17,100
"black party dress",12100,12100,9900,9900,9900,9900,8100,9900,9900,14800,14800,14800,14800,22,1.01,100
"camo shorts",12100,5400,5400,9900,14800,18100,22200,22200,14800,9900,5400,3600,3600,-33,1.29,100
"under armour sweatshirt",12100,14800,9900,9900,6600,5400,4400,4400,8100,8100,18100,33100,27100,83,3.06,100
"under armour pants",12100,18100,12100,14800,9900,8100,8100,8100,9900,8100,14800,22200,18100,0,1.77,100
"sustainable clothing brands",12100,6600,6600,8100,12100,9900,9900,12100,12100,14800,14800,14800,14800,124,2.06,100
"white bridesmaid dresses",12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,8100,-45,1.28,100
"aeropostale jeans",12100,12100,9900,12100,9900,8100,8100,12100,14800,8100,9900,14800,14800,22,0.52,100
"white sweater dress",12100,14800,6600,3600,1300,1000,1000,1600,3600,12100,27100,40500,33100,124,1.26,100
"white corner desk",12100,18100,9900,9900,8100,8100,9900,14800,14800,12100,9900,12100,12100,-33,1.13,100
medigap,12100,8100,8100,9900,9900,9900,8100,9900,9900,12100,22200,14800,12100,49,12.77,62
"loan apply",12100,9900,8100,12100,9900,12100,12100,12100,12100,12100,12100,9900,12100,22,8.66,93
"free online dating",12100,14800,12100,14800,12100,12100,9900,12100,9900,9900,9900,8100,9900,-33,3.11,83
"loya insurance",12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,-18,10.21,58
"bristol myers squibb stock",12100,22200,9900,9900,12100,9900,9900,8100,8100,8100,9900,12100,14800,-33,2.89,1
"chrysler aspen",12100,12100,14800,14800,12100,12100,12100,12100,12100,9900,12100,9900,9900,-18,1.34,11
"harry potter baby clothes",12100,14800,12100,12100,12100,9900,9900,12100,14800,12100,14800,12100,12100,-18,0.66,100
"kids dress for girls",12100,9900,9900,9900,9900,12100,9900,12100,9900,9900,9900,18100,14800,49,1.03,100
"acura rl",12100,12100,12100,12100,12100,12100,9900,12100,12100,9900,9900,9900,9900,-18,1.81,8
"treasury bills",12100,12100,12100,12100,14800,12100,8100,9900,9900,9900,12100,9900,9900,-18,2.35,4
"2008 bmw 335i",12100,9900,12100,12100,9900,12100,9900,9900,12100,12100,9900,12100,9900,0,0.68,17
"windbreaker pants",12100,14800,12100,12100,9900,8100,8100,9900,9900,9900,14800,14800,14800,0,1.36,100
"plus size spring dresses",12100,4400,8100,18100,49500,40500,22200,12100,5400,210,320,390,720,-84,1.22,100
"used suv for sale near me",12100,9900,9900,12100,8100,14800,18100,27100,12100,9900,8100,8100,8100,-18,3.50,87
"2010 cadillac cts",12100,9900,12100,12100,12100,9900,9900,9900,9900,9900,12100,9900,9900,0,0.87,22
"embellish jeans",12100,12100,12100,14800,12100,12100,9900,9900,12100,12100,14800,14800,14800,22,1.08,100
"small kitchen remodel",12100,14800,12100,12100,12100,9900,9900,9900,12100,12100,12100,12100,12100,-18,4.00,100
"jetta car",9900,8100,8100,9900,8100,8100,8100,18100,9900,9900,8100,6600,6600,-19,5.95,29
"low carb cheesecake",9900,14800,12100,12100,9900,9900,8100,8100,8100,6600,6600,8100,6600,-55,0.47,100
"2012 bmw 328i",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,-18,1.09,16
"wedding dress stores near me",9900,14800,12100,12100,9900,9900,9900,12100,12100,9900,12100,9900,8100,-45,1.56,95
"mens designer clothes",9900,9900,9900,12100,9900,9900,9900,12100,9900,9900,9900,9900,12100,22,1.98,100
"lol dress",9900,18100,12100,14800,12100,8100,6600,9900,8100,8100,6600,6600,5400,-70,0.48,100
"columbia promo code",9900,18100,12100,8100,6600,6600,6600,9900,8100,6600,8100,14800,18100,0,1.53,100
"d jeans",9900,8100,8100,12100,12100,12100,9900,9900,9900,12100,14800,12100,9900,22,0.69,100
"under armour promo code",9900,12100,9900,12100,9900,8100,8100,9900,12100,8100,9900,9900,14800,22,2.09,94
"small desks for sale",9900,3600,4400,5400,8100,6600,8100,9900,14800,14800,12100,12100,14800,311,1.38,100
"lowes discount code",9900,8100,8100,9900,12100,12100,9900,9900,8100,8100,8100,9900,9900,22,0.70,100
