Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"home office desk furniture",2400,2900,2400,2900,1300,1300,2400,2900,1600,1000,2900,3600,880,-70,4.04,100
"car wreck attorney",2400,1300,2900,2400,3600,2400,1000,1300,1900,1900,4400,3600,5400,315,58.30,21
"curvy girl outfits",2400,1300,1900,2400,2900,2900,720,3600,4400,4400,3600,720,1300,0,1.76,100
"plus size christmas outfit",1900,40,30,10,20,40,40,140,140,390,1600,9900,12100,30150,0.99,100
"clearance plus size dresses",1900,4400,1900,1900,1300,1300,1300,4400,1900,1300,1300,1000,880,-80,1.23,100
"mortgage loan interest rates",1600,2400,1000,1300,1300,1600,1600,1600,1900,1900,1600,1000,880,-63,9.48,72
"formal pants",1600,1900,1600,1900,1900,1900,1300,1300,1300,1600,1600,1600,1300,-32,1.33,100
"office bookcase",1600,2400,1600,1600,1300,1300,1000,1600,1600,1300,1600,1600,1600,-33,2.50,100
"mobile file cabinet",1600,2400,1600,1300,1300,1300,1300,1300,1600,1300,1600,1300,1600,-33,2.29,100
"ebay motors cars for sale",1300,1000,1000,1300,1300,1000,1000,1300,1300,1000,1000,1300,1000,0,1.05,86
"best sit stand desk",1300,1300,1300,1300,1300,1600,1300,1300,1300,1000,1000,1300,1300,0,6.74,100
"action hoe",1300,590,590,1300,1900,2900,2900,2400,1300,880,590,590,390,-34,0.27,100
"pv panels",1300,1000,1000,1300,1600,1300,1000,1300,1000,1000,1300,1300,1300,30,5.00,81
"kbr construction",1300,720,880,720,590,880,4400,1600,1300,720,880,720,720,0,0.85,17
"aliexpress code",1300,1000,880,1000,1000,1000,1300,1300,1600,1300,1600,1600,1900,90,0.93,62
"carb free tortillas",1300,1900,1300,1600,1300,1000,1000,1000,1300,1000,1000,880,720,-62,0.57,100
"keto vanilla ice cream",1300,1600,1600,1600,1000,1300,1600,1600,1600,1300,1000,720,590,-63,1.52,16
"small kitchen makeovers",1300,1600,1300,1300,1000,1300,1300,1600,1600,1600,1600,1600,1300,-19,1.69,100
"hana tajima",1300,390,720,2900,1900,1000,590,720,1900,1000,1000,1000,480,23,0.44,46
"small conference table",1300,1600,1000,1300,1300,1300,1000,1300,1600,1300,1300,1300,1000,-38,4.65,100
"plus size boutique dresses",1300,720,1000,1600,1900,1300,1000,1000,1600,1300,1300,880,590,-18,1.52,100
"vacation express travel agent",1300,1600,1600,1600,1000,1300,1600,1000,1000,880,1000,880,720,-55,0.92,26
"white desk table",1300,1900,1000,1300,880,1000,1000,1300,1300,1000,1000,1000,1600,-16,1.19,100
"flight hotel deals",1300,1300,1600,1300,1000,1000,880,1300,1900,1300,1300,880,880,-32,2.61,75
"portable solar power",1300,880,880,1000,1000,1300,1600,1600,1300,1300,1600,1000,1000,14,1.26,100
"atkins carb counter",1300,2900,1600,1300,1300,1000,1000,1000,1000,1000,880,720,590,-80,0.68,24
"torrid maxi dress",1300,1300,1300,1600,1900,1900,1600,1600,1000,1000,590,480,480,-63,1.15,100
"meal plan for abs",1300,1600,1300,1300,1600,1600,1600,1300,1000,1000,880,720,720,-55,1.35,53
"cyber monday hotel deals",1300,10,30,10,10,10,10,50,30,30,170,1600,14800,147900,6.49,100
"keto pressure cooker recipes",1300,2900,1300,1300,880,880,720,880,880,1000,1000,1000,1600,-45,0.41,92
"adjustable office chair",1300,1900,1000,1000,1000,1300,1000,1000,1300,1600,1300,1300,1600,-16,2.81,100
"husqvarna 125b leaf blower",1300,480,390,880,1300,1600,1300,880,1000,1600,1900,1900,1000,108,0.83,100
"tropical wedding invitations",1300,1600,1300,1600,1000,1300,1300,1300,1000,1000,1000,720,720,-55,4.96,100
"whole foods wedding cake",1300,1600,1300,1600,1300,1300,1600,1300,1300,1300,1000,880,880,-45,1.72,5
"garden tools set",1300,6600,720,720,1000,1600,880,590,390,390,390,590,1000,-85,1.08,100
"plus size black bodycon dress",1000,1000,1000,1000,1000,720,880,590,880,1300,1300,1000,880,-12,0.90,100
"light pink cocktail dress",1000,1000,1000,1600,1600,1300,1000,1300,1300,1300,880,590,390,-61,0.98,100
"attorney and lawyer",1000,880,1000,1000,1000,1300,1300,1000,1000,880,1000,1000,880,0,4.96,11
"classic fashion",1000,1300,1300,1000,1000,1000,880,880,1000,1600,1000,1000,1300,0,1.90,100
"solaria solar panels",1000,880,880,1000,880,880,880,880,1000,1000,1300,880,720,-18,1.87,100
"white writing desk with drawers",1000,1600,1300,1000,590,720,880,1300,1300,880,480,720,880,-45,1.46,100
"double workstation desk",1000,1900,1900,1300,880,880,880,880,1000,1000,880,880,1000,-47,1.22,100
"search optimization",1000,880,880,1300,1300,1300,1000,1000,1000,1300,1600,1000,1000,14,14.23,22
"officemax file cabinet",1000,1600,1000,1300,1000,880,880,1000,1000,1000,1000,1000,1300,-19,2.58,100
"new kitchen cost",1000,1300,1000,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,-23,3.51,92
"climbing roses for sale",1000,880,880,1000,2400,2400,1300,880,590,590,390,260,260,-70,0.75,100
"innovative construction",1000,1000,1000,880,1000,1300,1000,880,1000,880,1000,880,880,-12,2.67,5
"retirement financial advisor",1000,720,880,1000,1300,1000,1000,1000,1000,1000,1000,880,880,22,15.30,52
"how to lose 10 pounds in 5 days",1000,1000,1000,1300,1300,1300,1600,1600,1300,1000,1000,320,320,-68,2.05,5
