Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"plus size clothing",1830000,2240000,1500000,1830000,1830000,1830000,1830000,1830000,1830000,1830000,1500000,1830000,1830000,-18,2.08,100
"stock market",1500000,2240000,1220000,1220000,1220000,1830000,1220000,1220000,2740000,1220000,1220000,1000000,1220000,-46,3.74,11
"baby girl clothes",1220000,1500000,1000000,1220000,1000000,1000000,1000000,1220000,1000000,1220000,1000000,1220000,1500000,0,0.98,100
"tesla stock",1000000,1000000,823000,1220000,1220000,1500000,1220000,1220000,673000,673000,1220000,1220000,1220000,22,7.41,1
"maxi dresses",673000,368000,368000,823000,1220000,1500000,1000000,823000,450000,450000,368000,301000,201000,-45,1.19,100
"amzn stock",550000,823000,550000,550000,673000,550000,450000,550000,550000,368000,550000,368000,450000,-45,7.66,0
"midi dress",550000,201000,135000,301000,673000,1000000,673000,450000,550000,673000,550000,550000,368000,83,1.50,100
"bath and body works coupon",550000,368000,301000,368000,301000,368000,550000,368000,450000,450000,450000,823000,1830000,397,0.45,100
"white dress",450000,368000,368000,550000,673000,823000,550000,550000,450000,368000,368000,246000,201000,-45,1.12,100
"lyft stock",450000,8100,12100,673000,1830000,1000000,301000,201000,368000,301000,301000,246000,165000,1937,6.68,0
"toddler boy clothes",450000,165000,135000,368000,450000,301000,368000,368000,550000,550000,823000,823000,1000000,506,1.21,100
"stock futures",450000,550000,368000,368000,368000,450000,450000,368000,550000,450000,450000,368000,368000,-33,4.85,1
"wedding guest dresses",368000,135000,165000,368000,550000,673000,550000,550000,450000,368000,301000,201000,90500,-33,1.57,100
"cocktail dresses",368000,368000,368000,450000,450000,368000,301000,301000,368000,450000,368000,450000,368000,0,1.72,100
"clothing stores near me",301000,165000,201000,246000,301000,301000,301000,368000,368000,301000,301000,301000,301000,82,1.51,84
"casual dresses",301000,90500,90500,301000,450000,673000,550000,450000,450000,246000,201000,368000,110000,22,1.14,100
jacket,246000,301000,201000,246000,165000,165000,110000,135000,165000,201000,368000,450000,368000,22,1.98,100
"bad credit loans",246000,201000,165000,165000,201000,246000,246000,246000,246000,301000,301000,246000,301000,50,5.17,21
"mom jeans",246000,246000,201000,201000,201000,201000,201000,301000,368000,246000,301000,301000,301000,22,1.22,100
"met gala",246000,90500,90500,49500,90500,1830000,60500,49500,49500,60500,60500,60500,49500,-45,0.11,1
"bac stock",246000,301000,246000,246000,301000,201000,201000,246000,246000,201000,246000,201000,201000,-33,2.14,0
"leggings for women",246000,368000,246000,246000,201000,165000,165000,165000,165000,165000,301000,450000,550000,49,2.07,100
"north face jacket",246000,368000,246000,165000,90500,74000,49500,74000,90500,135000,368000,673000,550000,49,1.46,100
"wedding invitations",246000,450000,301000,368000,301000,301000,246000,246000,246000,201000,201000,201000,201000,-55,5.62,100
"solar panels",246000,246000,201000,246000,246000,246000,201000,246000,246000,246000,246000,201000,201000,-18,5.12,100
"msn money",201000,246000,201000,201000,201000,201000,201000,201000,246000,201000,246000,201000,201000,-18,1.31,0
"geico quote",201000,135000,165000,246000,246000,201000,165000,201000,201000,165000,165000,165000,165000,22,10.50,46
"costco stock",201000,165000,135000,201000,201000,201000,201000,246000,301000,246000,301000,201000,201000,22,2.34,0
"levis jeans",201000,135000,135000,165000,135000,165000,165000,165000,201000,201000,246000,368000,368000,173,1.67,100
"corner desk",201000,246000,165000,165000,165000,165000,165000,201000,201000,165000,165000,201000,201000,-18,1.17,100
investing,201000,201000,165000,165000,201000,165000,165000,165000,201000,246000,246000,246000,301000,50,7.84,28
"chk stock",201000,201000,201000,246000,165000,165000,165000,201000,201000,201000,165000,301000,301000,50,2.04,0
"uber eats promo code",201000,246000,201000,135000,165000,165000,165000,165000,201000,201000,201000,201000,201000,-18,4.19,11
"flower girl dresses",201000,301000,246000,246000,201000,165000,165000,201000,165000,135000,135000,110000,110000,-63,0.77,100
"walmart coupons",165000,135000,135000,135000,135000,135000,135000,165000,165000,135000,135000,201000,246000,82,0.68,44
"plus size jeans",165000,201000,110000,165000,165000,135000,135000,165000,165000,165000,246000,246000,201000,0,1.89,100
"great lakes student loans",165000,165000,165000,165000,165000,201000,135000,110000,165000,165000,165000,135000,135000,-18,6.77,3
"girls bathing suits",165000,135000,165000,246000,246000,301000,301000,201000,90500,40500,33100,49500,74000,-45,1.17,100
"asos us",165000,165000,165000,165000,165000,135000,135000,135000,165000,165000,201000,201000,165000,0,1.03,100
"jean jacket",165000,165000,135000,201000,201000,165000,135000,135000,165000,165000,246000,246000,201000,22,1.31,100
wheelbarrow,165000,135000,110000,165000,246000,246000,201000,135000,135000,135000,135000,110000,90500,-33,0.74,100
"denim jacket",135000,135000,135000,201000,165000,165000,110000,110000,135000,135000,165000,165000,135000,0,1.44,100
"goog stock",135000,135000,165000,135000,165000,201000,165000,165000,135000,90500,165000,110000,110000,-19,23.97,0
"mens leather jackets",135000,165000,110000,110000,74000,60500,49500,60500,74000,110000,201000,246000,246000,49,1.69,100
"mens sweatshirts",135000,165000,110000,90500,49500,40500,33100,33100,60500,74000,201000,368000,368000,123,2.22,100
"columbia jacket",135000,201000,165000,110000,60500,40500,22200,27100,40500,60500,201000,301000,301000,50,0.99,100
"nissan dealership near me",135000,90500,135000,135000,90500,135000,135000,135000,135000,135000,135000,135000,110000,22,8.21,46
"mini dress",135000,165000,60500,40500,301000,450000,246000,201000,60500,60500,49500,40500,40500,-75,1.13,100
"gmc dealership",135000,135000,110000,135000,110000,135000,135000,135000,165000,135000,135000,135000,110000,-19,5.39,43
"carhartt jacket",135000,201000,135000,90500,40500,33100,22200,27100,49500,90500,246000,368000,301000,50,1.61,100
"workout clothes for women",135000,201000,110000,201000,110000,74000,135000,201000,135000,60500,90500,110000,165000,-18,3.35,100
"plus size women",135000,201000,165000,201000,246000,165000,60500,74000,60500,60500,74000,110000,90500,-55,1.35,100
"microsoft stock price",110000,110000,90500,110000,110000,110000,110000,135000,135000,110000,135000,135000,135000,23,2.81,0
"1920s fashion",110000,90500,90500,90500,74000,74000,49500,60500,74000,110000,135000,165000,450000,397,0.42,100
"dress pants for women",110000,135000,110000,110000,110000,110000,90500,90500,110000,110000,135000,165000,135000,0,1.64,100
"oversized sweaters",110000,49500,33100,27100,14800,12100,12100,18100,60500,60500,301000,368000,301000,508,1.38,100
"levis jeans women",110000,110000,90500,135000,90500,74000,60500,60500,90500,90500,165000,201000,135000,23,1.63,100
"home depot stock",110000,110000,110000,90500,110000,90500,90500,110000,135000,110000,90500,135000,110000,0,4.20,1
"personal injury lawyer",110000,60500,90500,90500,110000,90500,74000,90500,165000,165000,110000,90500,90500,50,103.31,43
"uber stock price",110000,8100,5400,12100,40500,550000,135000,90500,110000,74000,74000,135000,90500,1017,2.94,0
"mcdonalds nutrition",110000,165000,135000,165000,135000,135000,135000,135000,135000,110000,74000,60500,49500,-70,0.37,0
"dillards dresses",110000,90500,110000,110000,135000,135000,110000,110000,90500,135000,110000,90500,74000,-18,1.14,100
"insurance companies",110000,110000,110000,135000,110000,110000,110000,135000,135000,110000,135000,110000,110000,0,55.50,80
"ford stock price",110000,135000,110000,90500,110000,110000,90500,110000,110000,90500,110000,90500,90500,-33,3.06,1
"summer dresses for women",110000,60500,74000,90500,135000,165000,246000,246000,110000,33100,22200,27100,27100,-55,1.70,100
"pfizer stock",110000,135000,110000,90500,110000,90500,90500,135000,165000,110000,135000,110000,110000,-19,4.90,0
"grubhub coupon",110000,110000,110000,165000,135000,110000,90500,110000,110000,90500,74000,90500,110000,0,1.25,34
"vz stock",90500,135000,90500,110000,110000,90500,90500,90500,110000,90500,110000,90500,90500,-33,0.32,0
"all inclusive vacations",90500,201000,201000,135000,90500,60500,74000,74000,49500,33100,40500,40500,49500,-75,2.20,84
"black jeans",90500,74000,74000,74000,60500,60500,60500,74000,90500,90500,135000,135000,110000,49,1.50,100
"keto diet plan",90500,74000,74000,74000,74000,74000,74000,110000,135000,90500,90500,90500,90500,22,1.73,100
"used tesla",90500,74000,60500,90500,90500,90500,90500,90500,90500,90500,90500,110000,90500,22,0.67,42
"easter dresses",90500,18100,49500,301000,673000,3600,1300,1000,1000,1000,1300,1300,2400,-87,0.91,100
"plant nursery",90500,49500,60500,110000,135000,165000,110000,110000,90500,90500,74000,60500,49500,0,1.20,24
"jcp stock",90500,90500,74000,90500,60500,74000,60500,74000,135000,135000,90500,90500,74000,-18,0.82,1
"abbvie stock",90500,74000,60500,60500,74000,49500,90500,110000,90500,90500,110000,110000,74000,0,0.95,0
"chipotle nutrition",90500,110000,90500,110000,110000,90500,90500,90500,74000,74000,74000,60500,60500,-45,0.94,1
"unh stock",90500,74000,74000,90500,201000,110000,74000,110000,74000,74000,110000,74000,74000,0,0.51,0
"cheap auto insurance",90500,90500,90500,110000,90500,90500,90500,90500,90500,90500,90500,90500,90500,0,74.11,95
"puffer jacket women",90500,135000,90500,49500,14800,12100,8100,9900,14800,22200,90500,368000,301000,123,1.86,100
"loans near me",90500,60500,40500,49500,74000,90500,90500,110000,110000,90500,90500,90500,110000,82,5.21,64
"moncler jacket",90500,110000,110000,60500,27100,27100,18100,27100,40500,60500,90500,201000,201000,83,1.28,100
"car accident lawyer",90500,40500,74000,110000,74000,49500,40500,135000,135000,135000,74000,74000,74000,83,186.45,44
"bath and body coupons",90500,74000,40500,60500,49500,49500,74000,49500,74000,74000,74000,135000,246000,232,0.77,100
"buy here pay here near me",90500,74000,110000,135000,90500,90500,90500,90500,110000,110000,90500,90500,74000,0,4.87,60
"infiniti g35",90500,90500,90500,90500,110000,110000,110000,110000,110000,110000,110000,90500,90500,0,1.18,9
"nike shorts men",90500,27100,40500,90500,110000,135000,165000,165000,135000,49500,40500,60500,60500,123,1.10,100
dealer,90500,90500,110000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,0,4.61,18
"newborn baby girl clothes",90500,49500,40500,90500,110000,110000,110000,110000,110000,90500,90500,90500,90500,83,0.81,100
"floral dress",90500,60500,90500,165000,201000,165000,110000,110000,74000,60500,49500,33100,27100,-55,1.25,100
"nokia stock",90500,60500,74000,74000,90500,90500,74000,90500,74000,74000,135000,90500,90500,50,1.85,3
"toddler dresses",74000,74000,60500,90500,90500,74000,60500,60500,60500,60500,74000,110000,110000,49,0.99,100
"mcdonalds stock",74000,74000,60500,60500,74000,74000,60500,74000,74000,74000,90500,135000,74000,0,2.74,1
"audi dealership",74000,74000,60500,74000,74000,74000,74000,74000,90500,74000,74000,60500,60500,-18,7.37,27
"federal student loans",74000,74000,74000,74000,74000,60500,60500,90500,90500,60500,60500,49500,49500,-33,10.93,35
"yoga pants for women",74000,90500,60500,60500,49500,49500,49500,40500,49500,49500,74000,110000,165000,82,2.22,100
"jcpenney dresses",74000,49500,60500,74000,90500,110000,74000,90500,74000,90500,74000,60500,49500,0,0.50,100
