Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
dresses,6120000,3350000,4090000,6120000,9140000,9140000,9140000,7480000,6120000,5000000,5000000,6120000,5000000,49,1.31,100
pants,3350000,1500000,1220000,1830000,3350000,3350000,2740000,2740000,2240000,1830000,6120000,7480000,2240000,49,1.44,100
clothes,1500000,1500000,1220000,1500000,1220000,1220000,1220000,1830000,1830000,1830000,1500000,1830000,1830000,22,1.46,100
"romper dress",1500000,22200,27100,1000000,2240000,2240000,1500000,1500000,1500000,1500000,1830000,1830000,1830000,8143,0.68,100
"amd stock",1000000,1220000,823000,823000,1000000,1000000,1000000,1220000,1220000,673000,823000,1000000,823000,-33,8.01,1
activewear,823000,2740000,550000,550000,550000,450000,550000,550000,673000,550000,823000,1000000,1830000,-33,2.03,43
"cars for sale",823000,1000000,1000000,1000000,1000000,1000000,823000,1000000,1000000,823000,823000,823000,823000,-18,2.53,88
"office chair",823000,1220000,823000,823000,823000,823000,823000,1000000,1000000,823000,673000,823000,1000000,-18,2.54,100
"coats and jackets",823000,301000,246000,368000,823000,673000,368000,301000,110000,49500,2240000,4090000,40500,-87,1.46,44
fedloan,550000,673000,673000,673000,673000,550000,550000,550000,550000,450000,550000,450000,550000,-18,4.45,1
"acb stock",550000,450000,673000,1000000,673000,550000,450000,450000,450000,450000,450000,550000,450000,0,2.10,0
"homecoming dresses",550000,201000,110000,90500,110000,135000,135000,301000,1000000,2740000,1000000,165000,90500,-55,0.71,100
"toyota dealership",450000,368000,368000,450000,368000,450000,450000,450000,550000,450000,450000,368000,368000,0,7.24,36
"big and tall clothing",450000,673000,550000,550000,450000,450000,550000,450000,368000,301000,368000,450000,550000,-18,3.63,100
"home office furniture",450000,1220000,301000,301000,301000,301000,246000,550000,368000,301000,301000,368000,450000,-63,2.93,100
